lemma,count
the,75
of,59
be,46
and,43
a,34
to,27
in,23
with,18
he,13
have,12
as,12
for,12
who,12
by,11
his,11
it,10
that,10
i,9
not,9
french,9
boyd,8
mr,8
which,7
writer,7
from,7
but,7
all,7
into,7
one,7
more,6
so,5
literary,5
pirandello,5
literature,4
l,4
among,4
t,4
great,4
this,4
author,4
critic,4
work,4
an,4
s,4
much,4
no,4
study,4
play,3
ireland,3
other,3
whose,3
such,3
english,3
may,3
translation,3
there,3
little,3
germany,3
write,3
american,3
tile,3
madame,3
include,3
do,3
out,3
de,3
very,3
country,3
yet,3
ten,3
italy,2
us,2
translate,2
man,2
defect,2
dozen,2
half,2
example,2
interest,2
time,2
if,2
shaw,2
those,2
genius,2
next,2
lie,2
dramatize,2
suggest,2
switzerland,2
what,2
many,2
well,2
success,2
crowd,2
novel,2
land,2
think,2
bovary,2
community,2
name,2
at,2
how,2
further,2
revue,2
complete,2
without,2
its,2
austria,2
nation,2
d,2
citizen,2
too,2
set,2
scandinavia,2
first,2
use,2
character,2
vie,2
both,2
whitman,2
call,2
ago,2
latter,2
long,2
than,2
m,2
read,2
zola,2
quality,2
down,2
life,2
can,2
courage,2
perhaps,2
nobel,2
native,2
carl,2
n,2
on,2
poland,2
ever,2
take,2
while,2
these,2
profound,2
talk,2
only,2
another,2
c,2
f,1
rope,1
go,1
roundabout,1
decline,1
solve,1
face,1
nothing,1
seem,1
come,1
novelist,1
nature,1
poet,1
namely,1
attention,1
enjoy,1
divergent,1
privilege,1
hat,1
also,1
lloyd,1
quotation,1
minimize,1
volume,1
luxury,1
amy,1
serve,1
old,1
form,1
speech,1
teutonic,1
rolland,1
romain,1
save,1
france,1
recognize,1
em,1
impression,1
painter,1
keller,1
finland,1
die,1
epic,1
simple,1
bard,1
something,1
winner,1
prize,1
rightly,1
hungary,1
hold,1
exotic,1
swiss,1
flora,1
apart,1
nine,1
stand,1
though,1
german,1
journalistic,1
however,1
differ,1
austrian,1
realist,1
ob,1
like,1
difference,1
lack,1
reason,1
between,1
depict,1
benefit,1
vein,1
advantage,1
poetry,1
revolution,1
exercise,1
note,1
judgment,1
technical,1
reader,1
regret,1
swinburne,1
introduce,1
end,1
iver,1
acquaintance,1
him,1
owe,1
small,1
surprise,1
will,1
certainly,1
become,1
candidate,1
dec,1
academy,1
task,1
difficult,1
merciful,1
innovation,1
tempt,1
mis,1
eat,1
saunter,1
simplicity,1
amid,1
result,1
good,1
path,1
wander,1
everybody,1
adopt,1
verse,1
contemporary,1
indifferent,1
hr,1
evolution,1
responsible,1
primarily,1
therefore,1
practical,1
carry,1
early,1
seat,1
v,1
news,1
art,1
rene,1
viz,1
handful,1
hyphenate,1
language,1
thousand,1
cit,1
possible,1
far,1
comment,1
interesting,1
norway,1
boyer,1
johan,1
denmark,1
gustav,1
brande,1
fleer,1
select,1
pay,1
class,1
farming,1
industrial,1
vivian,1
late,1
pauline,1
look,1
union,1
represent,1
distinction,1
beauty,1
abstract,1
essentially,1
toward,1
turn,1
thought,1
exquisite,1
nays,1
clutter,1
last,1
concern,1
merrill,1
stuart,1
skill,1
nan,1
avoid,1
antoine,1
john,1
tam,1
group,1
power,1
notwithstanding,1
e,1
serial,1
la,1
realism,1
leader,1
accept,1
flaubert,1
start,1
them,1
eminent,1
begin,1
b,1
switzer,1
likely,1
irish,1
british,1
rs,1
spain,1
speak,1
nada,1
even,1
reborn,1
portugal,1
dull,1
book,1
must,1
confess,1
figure,1
central,1
emma,1
burlesque,1
subject,1
vaudeville,1
background,1
drive,1
line,1
centime,1
offer,1
newspaper,1
once,1
remind,1
scandal,1
opposition,1
periodical,1
because,1
virulence,1
raise,1
lucky,1
weep,1
wide,1
now,1
page,1
hundred,1
three,1
octavo,1
our,1
worth,1
most,1
tell,1
output,1
account,1
give,1
propose,1
bold,1
kay,1
son,1
scribner,1
york,1
new,1
pp,1
fettle,1
fine,1
scandinavian,1
odd,1
legible,1
green,1
print,1
view,1
forth,1
renaissance,1
praise,1
worthy,1
job,1
tackle,1
gallantry,1
oatmeal,1
unlimited,1
vanquish,1
scottish,1
any,1
potato,1
largely,1
diet,1
where,1
sell,1
fact,1
due,1
audacity,1
reviewer,1
naturally,1
jump,1
conception,1
social,1
place,1
conceive,1
artificiality,1
their,1
regard,1
letter,1
enough,1
translator,1
mark,1
course,1
get,1
we,1
excellent,1
thing,1
state,1
third,1
common,1
second,1
clean,1
mean,1
propaganda,1
wolds,1
thus,1
spar,1
victor,1
rousseau,1
photo,1
p,1
luigi,1
streak,1
feminine,1
remark,1
allude,1
italian,1
chapter,1
action,1
clamor,1
when,1
public,1
exasperate,1
or,1
entertain,1
dissertation,1
elaborate,1
none,1
explain,1
cop,1
fray,1
terrible,1
manage,1
tl,1
tame,1
treat,1
kindly,1
o,1
alphonse,1
attack,1
h,1
evolve,1
follow,1
significance,1
value,1
true,1
realize,1
few,1
vigor,1
wag,1
battle,1
eternal,1
furious,1
gentlemanly,1
friend,1
priest,1
appreciation,1
fly,1
ho,1
motto,1
together,1
consider,1
exiled,1
spanish,1
involved,1
muddy,1
interminable,1
proust,1
part,1
scott,1
make,1
mistake,1
absurd,1
point,1
impossible,1
caution,1
here,1
over,1
russia,1
