nyt_id,review_word_count,author_as_listed,assumed_gender,headline,nyt_pdf_endpoint
4fc03b9245c1498b0d1e86aa,521,no author,none,DISRAELI.,https://query.nytimes.com/gst/abstract.html?res=9B05E6DD163EE733A25754C0A9679C946497D6CF
4fc0532945c1498b0d250e4c,283,Prof. Curtis Hidden Page,m,British Poets.,https://query.nytimes.com/gst/abstract.html?res=9E01E6DD163EE733A25754C0A9679C946497D6CF
4fc045fc45c1498b0d2162b6,440,Paul Bourget,m,Purely Pathological.; A DIVORCE. By Paul Bourget of the French Academy. 12mo. Pp. 363. New York: Charles Scribner's Sons.,https://query.nytimes.com/gst/abstract.html?res=9C02E6DD163EE733A25754C0A9679C946497D6CF
4fc0532945c1498b0d250e51,251,A.E. Gallatin,none,A.E. Gallatin's Essays.,https://query.nytimes.com/gst/abstract.html?res=9503E6DD163EE733A25754C0A9679C946497D6CF
4fc03b9245c1498b0d1e86ad,412,Donald Maxwell,m,Cruise of the Griffin.; THE LOG OF THE GRIFFIN. The Story of a Cruise from the Alps to the Thames. By Donald Maxwell. With illustrations by the author and Cuttington Taylor. Cloth. Decorated cover. Pp. 304. New York: John Lane. $2.,https://query.nytimes.com/gst/abstract.html?res=9403E6DD163EE733A25754C0A9679C946497D6CF
4fc047fa45c1498b0d21ffce,386,Charles Brodie Patterson,m,"Some ""New Thought.""; THE MEASURE OF A MAN. By Charles Brodie Patterson, editor of ""Mind."" 12mo. Pp. 297. New York: Funk & Wagnalls Co. $1.20.",https://query.nytimes.com/gst/abstract.html?res=9D0DE7DD163EE733A25754C0A9679C946497D6CF
4fc03b9245c1498b0d1e86b4,1033,Charles Marriot,m,"""GENEVRA.""; A New Story of Cornwall by the Author of ""The Column""*",https://query.nytimes.com/gst/abstract.html?res=9B03E6DD163EE733A25754C0A9679C946497D6CF
4fc047fa45c1498b0d21ffc8,380,Frank J. Burgoyne,m,"""Leycester's Commonwealth.""",https://query.nytimes.com/gst/abstract.html?res=9C01E6DD163EE733A25754C0A9679C946497D6CF
4fc03b9245c1498b0d1e86a8,1584,Mr. Clark Carr,m,"MEN OF ILLINOIS.; Mr. Clark Carr's Book About Statesmen, Jurists, and Soldiers He Calls Illini.*",https://query.nytimes.com/gst/abstract.html?res=9D02E6DD163EE733A25754C0A9679C946497D6CF
4fc045fc45c1498b0d2162b0,1449,Thomas Cowen,m,THE SEAT OF WAR.; Thomas Cowen's Book on the Russo-Japanese Conflict to the Battle of Liao Yang.,https://query.nytimes.com/gst/abstract.html?res=9C02E7DD163EE733A25754C0A9679C946497D6CF
4fc03b9245c1498b0d1e86b8,277,John Burroughs,m,John Burroughs's New Book.,https://query.nytimes.com/gst/abstract.html?res=9C0DE7DD163EE733A25754C0A9679C946497D6CF
4fc045fc45c1498b0d216298,1614,M. Reinach,m,UTILITY OF ART.; M. Reinach's New History -- Latest Views of Gainsborough and Verrocchio.,https://query.nytimes.com/gst/abstract.html?res=9D00E6DD163EE733A25754C0A9679C946497D6CF
4fc0499e45c1498b0d226c41,757,"Edwin Erie Sparks, Ph. D. ",m,American History.; THE UNITED STATES OF AMERICA.,https://query.nytimes.com/gst/abstract.html?res=9E00E6DD163EE733A25754C0A9679C946497D6CF
4fc0532945c1498b0d250e59,385,Grant Wright,m,Caricature.; THE ART OF CARICATURE. By Grant Wright. Illustrated. 12mo. Pp. 180. New York: The Baker & Taylor Company. $1.,https://query.nytimes.com/gst/abstract.html?res=9D0CE7DD163EE733A25754C0A9679C946497D6CF
4fc045fc45c1498b0d21629f,553,Col. Sir Thomas Hungerford Holdich,m,"FACTS ABOUT INDIA.; INDIA, By Col. Sir Thomas Hungerford Holdich. Late Superintendent Survey of India. With Maps and Diagrams. Cloth. Pp. 375. New York: D. Appleton & Co. $2.50.",https://query.nytimes.com/gst/abstract.html?res=9403E7DD163EE733A25754C0A9679C946497D6CF
4fc0532945c1498b0d250e48,2074,Robert Hunter,m,"A BOOK ON POVERTY.; ROBERT HUNTER, THE CHARITY AND SOCIAL SETTLEMENT WORKER, DESCRIBES POVERTY AND ESTIMATES THE EXTENT OF IT IN THE UNITED STATES.*",https://query.nytimes.com/gst/abstract.html?res=9503E7DD163EE733A25754C0A9679C946497D6CF
4fc054ce45c1498b0d258b69,320,William C. Wood,m,William Wood.,https://query.nytimes.com/gst/abstract.html?res=9C05E6DD163EE733A25754C0A9679C946497D6CF
4fc0528045c1498b0d24e521,2665,James Douglas,m,"FRIEND OF POETS.; Joseph Jacobs Reviews the New Biography of Theodore Watts-Dunton, by James Douglas.*",https://query.nytimes.com/gst/abstract.html?res=9502E7DD163EE733A25754C0A9679C946497D6CF
4fc0471045c1498b0d21b1cd,1603,Gen. James Grant Wilson,m,THACKERAY.; Gen. James Grant Wilson's Book About the Novelist's Two Visits to the United States.*,https://query.nytimes.com/gst/abstract.html?res=9B0DE7DD163EE733A25754C0A9679C946497D6CF
4fc045fc45c1498b0d2162b9,1189,"Percy Ashley, M.A.",m,"THE TARIFF.; A Book About Its Working In Germany, France and Our Own Country.*",https://query.nytimes.com/gst/abstract.html?res=9C0CE7DD163EE733A25754C0A9679C946497D6CF
4fc045fd45c1498b0d21634d,1035,Rev. Robert Hamill Nassau,m,FETICHISM.; A Missionary's Book About the Native Customs and Superstitions of West Africa.*,https://query.nytimes.com/gst/abstract.html?res=9E04EFD7173AE733A25757C1A9679C946497D6CF
4fc045fd45c1498b0d216362,480,Wilfrid S. Jackson,m,"The Accidental Umpire.; HELEN OF TROY, NEW YORK. By Wilfrid S. Jackson, Author of ""Nine Points of the Law."" 12mo. Pp. 307. New York: John Lane: The Bodley Head. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9A07EFD7173AE733A25757C1A9679C946497D6CF
4fc047fa45c1498b0d22001a,529,Alice Ridley,f,"A Murderess.; A DAUGHTER OF JAEL. By Alice Ridley. Author of ""The Story of Aline"" and ""Anne Mainwaring."" 12mo. Pp. 334. New York: Longmans, Green & Co. $1.50.",https://query.nytimes.com/gst/abstract.html?res=9F04EFD7173AE733A25757C1A9679C946497D6CF
4fc03b9245c1498b0d1e8723,1627,Mr. Gocher,m,CHARTER OAK.; Mr. Gocher's History of Capt. Wadsworth's Achievement and the Plot of Sir Edmund Andros.*,https://query.nytimes.com/gst/abstract.html?res=9E02EFD7173AE733A25757C1A9679C946497D6CF
4fc045fd45c1498b0d216349,554,Emma Helen Blair and James Alexander Robertson,dual,"Our Eastern Islands.; THE PHILIPPINE ISLANDS. 1493-1898. Explorations of Early Navigators, &c. Translated from the Originals. Edited and annotated by Emma Helen Blair and James Alexander Robertson, with historical introduction and additional notes by Edward Gaylord Bourne. With maps, portraits, and other illustrations. Volumes XIX. and XX. Cloth. Vol. XIX. Pp. 319. Vol. XX. Pp. 306. Cleveland, Ohio: The Author. H. Clark Company. $4 per volume.",https://query.nytimes.com/gst/abstract.html?res=9904EFD7173AE733A25757C1A9679C946497D6CF
4fc03b9245c1498b0d1e8735,434,Archer Butler Hulbert,m,"THE ERIE CANAL.; THE GREAT AMERICAN CANALS. By Archer Butler Hulbert. With Maps and Illustrations. Vol. II. -- The Erie Canal. Cloth. Pp. 234. Cleveland, Ohio: The Arthur H. Clark Company. $2.50.",https://query.nytimes.com/gst/abstract.html?res=9E05EFD7173AE733A25757C1A9679C946497D6CF
4fc0532945c1498b0d250e97,294,Richard Lovett,m,"A Martyr Missionary.; TAMATE, THE LIFE STORY OF JAMES CHALMERS. Told for Young People. By Richard Lovett. With maps and illustrations. Cloth. Decorated cover. Pp. 320. New York: The Fleming H. Revell Co. $1.25.",https://query.nytimes.com/gst/abstract.html?res=9804EFD7173AE733A25757C1A9679C946497D6CF
4fc0532945c1498b0d250e96,502,Louis Becke,m,On South Pacific Isles.; UNDER TROPIC SKIES. By Louis Becke. One volume. Pp. 312. Philadelphia: J.R. Lippincott Company.,https://query.nytimes.com/gst/abstract.html?res=9A00EFD7173AE733A25757C1A9679C946497D6CF
4fc0499e45c1498b0d226ca4,399,G. Ystridde,none,Three Governesses.; THREE DUKES. By G. Ystridde. 12mo. Pp. 407. New York: G.P. Putnam's Sons. $1.20.,https://query.nytimes.com/gst/abstract.html?res=9505EFD7173AE733A25757C1A9679C946497D6CF
4fc054cf45c1498b0d258bdf,779,Eugene Newman,m,"POLITICIANS.; ESSAYS ON MEN, THINGS, AND EVENTS HISTORICAL, PERSONAL, POLITICAL. Including Essays on Roscoe Conkling, Thaddeus Stevens, Matthew H. Carpenter, Andrew Johnson, John J. Ingalis, Seargent S. Prentiss, Oliver P. Morton, Lucius Q.C. Lamar, Samuel J. Tilden, the Family of Field, Marcus A. Hanna, Thomas B. Reed, Benjamin H. Hill, George P. Hoar, Frank Wolford, Stephen A. Douglas, Thomas C. Platt. By Savoyard. With portraits. 12mo. Pp. 287. New York and Washington: The Neale Publishing Company.",https://query.nytimes.com/gst/abstract.html?res=9B05EFD7173AE733A25757C1A9679C946497D6CF
4fc03b9245c1498b0d1e8728,625,S.R. Crockett,m,"Galloway.; RAIDERLAND. All About Grey Galloway, Its Stories, Traditions, Characters, Humors. By S.R. Crockett. With Illustrations by Joseph Pennell. 12mo. Pp. 359. New York: Dodd, Mead & Co. $2.",https://query.nytimes.com/gst/abstract.html?res=9803EFD7173AE733A25757C1A9679C946497D6CF
4fc03b9245c1498b0d1e8738,1295,Elroy McKendree Avery,m,A POPULAR HISTORY.; The First Volume of a New Work Edited by Elroy McKendree Avery.*,https://query.nytimes.com/gst/abstract.html?res=9405EFD7173AE733A25757C1A9679C946497D6CF
4fc03b9245c1498b0d1e8739,922,Percival Somers,m,A COUNTRY DIARY.; A Quaint and Droll Book About English Rural Life.*,https://query.nytimes.com/gst/abstract.html?res=9905EFD7173AE733A25757C1A9679C946497D6CF
4fc0528045c1498b0d24e541,763,William Knight,m,"Literary Reminiscences.; RETROSPECTS. By William Knight, Emeritus Professor of Philosophy in the University of St. Andrew's. 8vo. Pp. 310- New York: Imported by Charles Seribner's Sons. $2.25.",https://query.nytimes.com/gst/abstract.html?res=9F03EFD7173AE733A25757C1A9679C946497D6CF
4fc045fd45c1498b0d2163c4,293,"Edward S. Ellis, A.M.",m,"Bacon's Rebellion.; THE CROMWELL OF VIRGINIA. A Story of Bacon's Rebellion. By Edward S. Ellis, A.M., Author of ""An American King."" 12mo. Pp. 380. Philadelphia: Henry T. Coates & Co. $1.",https://query.nytimes.com/gst/abstract.html?res=9A03E2DB1738EF32A25752C2A9679C946497D6CF
4fc045fd45c1498b0d2163cd,655,G.E. Mitton,none,"Autobiography of a Dog.; THE DOG. By G.E. Mitton, Author of ""The Children's Book of London,"" &c. Third of a Series of Animal Biographies. 8vo. Pp. vi.-20s. New York: The Macmillan Company. $2.",https://query.nytimes.com/gst/abstract.html?res=9503E2DB1738EF32A25752C2A9679C946497D6CF
4fc0471145c1498b0d21b251,1010,"Thomas Dixon, Jr.",m,"Thomas Dixon, Jr.'s, New Story of Life in the Southern States in the Reconstruction Period.*",https://query.nytimes.com/gst/abstract.html?res=9B04E2DB1738EF32A25752C2A9679C946497D6CF
