term,count
the,62
of,39
and,37
a,33
in,25
to,19
his,15
is,13
he,12
that,10
at,7
with,7
indian,7
about,6
an,6
for,6
by,6
this,6
not,5
capt,5
it,5
hunter,5
as,5
some,5
or,5
was,5
there,5
has,4
man,4
stories,4
india,4
tiger,4
beasts,4
be,4
s,4
bear,4
upon,4
on,4
author,3
other,3
ancient,3
who,3
old,3
all,3
presence,3
sahib,3
give,3
more,3
big,3
sportsman,3
seems,3
tigers,3
own,3
game,3
she,3
also,3
which,3
had,3
very,2
dark,2
sport,2
box,2
fell,2
must,2
asleep,2
how,2
perhaps,2
then,2
i,2
himself,2
shot,2
many,2
her,2
shooting,2
night,2
side,2
are,2
well,2
story,2
may,2
years,2
rifle,2
made,2
above,2
order,2
bears,2
their,2
tree,2
truth,2
beast,2
great,2
one,2
but,2
bevy,2
where,2
water,2
two,2
arm,2
seton,2
jungle,2
thompson,2
another,2
writing,2
camp,2
feet,2
wild,2
among,2
grace,2
figure,2
record,2
honorable,1
dan,1
chaucer,1
takes,1
honor,1
quotes,1
those,1
smelled,1
poem,1
make,1
head,1
once,1
utensils,1
full,1
skin,1
stuffed,1
containing,1
therefore,1
no,1
butcher,1
place,1
pig,1
sticking,1
w,1
him,1
pauses,1
thereafter,1
poison,1
sat,1
carrion,1
shoulder,1
touch,1
stench,1
waked,1
below,1
saw,1
bandaged,1
bait,1
pointing,1
turned,1
find,1
murderous,1
waited,1
ll,1
purely,1
eater,1
nothing,1
quarry,1
natives,1
hinted,1
ghostly,1
tc,1
whom,1
tho,1
wounded,1
died,1
included,1
fanciful,1
blood,1
beater,1
chiefly,1
spell,1
declares,1
roiled,1
rocks,1
crevice,1
clung,1
bush,1
solitary,1
caught,1
embrace,1
close,1
over,1
rolled,1
precipice,1
ledge,1
narrow,1
along,1
passing,1
attacked,1
contempt,1
undeserved,1
bottom,1
still,1
attracts,1
even,1
year,1
volume,1
smaller,1
published,1
were,1
here,1
prints,1
so,1
going,1
been,1
destruction,1
wanton,1
check,1
law,1
institute,1
last,1
government,1
means,1
moderate,1
people,1
held,1
animal,1
sloth,1
obtained,1
does,1
answer,1
ant,1
away,1
send,1
couple,1
servant,1
bade,1
crouched,1
came,1
aforesaid,1
wife,1
daughter,1
woman,1
native,1
mention,1
cats,1
striped,1
sitting,1
these,1
hours,1
if,1
adventure,1
wonderful,1
relates,1
obey,1
doubtless,1
will,1
pleased,1
would,1
argument,1
any,1
shall,1
persons,1
aged,1
chair,1
easy,1
distance,1
laid,1
dinner,1
beg,1
upright,1
damsels,1
sole,1
appear,1
imagination,1
feeling,1
picture,1
seeks,1
words,1
mystery,1
land,1
live,1
affect,1
less,1
superstitions,1
habits,1
lying,1
up,1
silences,1
noises,1
whose,1
interest,1
effects,1
bag,1
worse,1
better,1
wonderfully,1
effect,1
combine,1
biography,1
panthers,1
day,1
interesting,1
deal,1
hands,1
seasoned,1
produces,1
certainly,1
fauna,1
methods,1
application,1
midnight,1
strange,1
same,1
confession,1
makes,1
autobiographically,1
speak,1
hunted,1
character,1
view,1
point,1
assuming,1
role,1
aside,1
lay,1
apt,1
jungles,1
sort,1
fancies,1
facts,1
collection,1
pictures,1
mingles,1
scenery,1
fancy,1
wonders,1
rather,1
dwelt,1
background,1
adventures,1
kept,1
exploits,1
personal,1
epic,1
slaughter,1
extenuation,1
pleads,1
hunting,1
book,1
beginning,1
apologize,1
tales,1
than,1
kind,1
village,1
star,1
twinkled,1
sky,1
eastern,1
luminous,1
against,1
aloft,1
poised,1
pot,1
brass,1
silhouette,1
brown,1
curving,1
upward,1
strides,1
long,1
swept,1
lane,1
morning,1
gone,1
york,1
retreating,1
birds,1
early,1
only,1
season,1
therein,1
supply,1
scanty,1
path,1
down,1
silently,1
swiftly,1
went,1
dusky,1
ornaments,1
hurrying,1
anklets,1
barbaric,1
john,1
new,1
tells,1
half,1
back,1
trailed,1
captain,1
read,1
you,1
slain,1
fashion,1
ill,1
spent,1
after,1
however,1
alone,1
around,1
wandering,1
appears,1
word,1
expressive,1
slept,1
hour,1
pp,1
when,1
from,1
illustrations,1
numerous,1
x,1
army,1
u,1
f,1
tile,1
metal,1
jingling,1
clinking,1
ground,1
hard,1
heels,1
naked,1
thudding,1
quick,1
ago,1
