term,count
the,125
of,84
and,41
to,25
in,22
is,16
a,16
volume,15
are,12
history,11
by,11
as,8
university,8
which,8
professor,8
on,7
i,7
first,7
for,6
volumes,6
work,6
that,5
s,5
devoted,5
from,5
l,5
ancient,5
second,5
this,5
german,5
has,5
been,5
world,4
with,4
d,4
at,4
empires,4
one,3
it,3
general,3
v,3
more,3
these,3
called,3
two,3
four,3
empire,3
twenty,3
section,3
five,3
greek,3
three,3
th,3
pages,3
t,3
prof,2
o,2
authorities,2
iv,2
while,2
covering,2
index,2
h,2
down,2
covers,2
egypt,2
earliest,2
charles,2
had,2
an,2
constantine,2
e,2
assistant,2
some,2
brief,2
text,2
final,2
beginning,2
fashion,2
upon,2
so,2
rather,2
information,2
few,2
john,2
concerned,2
who,2
least,2
not,2
rest,2
well,2
illustrated,2
written,2
literature,2
material,2
jewish,2
many,2
much,2
supply,2
school,2
than,2
editor,2
contains,2
supplemented,2
original,2
f,2
sort,2
chiefly,2
third,2
m,2
book,2
nineteen,2
however,2
egyptian,2
series,2
both,1
ling,1
thebes,1
tims,1
entitled,1
universal,1
tome,1
authority,1
his,1
fisk,1
library,1
andrews,1
scholars,1
k,1
like,1
ail,1
ia,1
waning,1
remember,1
revisions,1
additions,1
rome,1
gustav,1
translation,1
greece,1
call,1
ph,1
peoples,1
about,1
know,1
care,1
people,1
most,1
william,1
pennsylvania,1
extending,1
elsewhere,1
conflict,1
dealing,1
rs,1
age,1
into,1
divided,1
crete,1
responsible,1
investigation,1
recent,1
advisable,1
made,1
bean,1
changes,1
republican,1
robinson,1
period,1
gives,1
you,1
writer,1
title,1
credited,1
except,1
revisers,1
place,1
editors,1
refer,1
could,1
purpose,1
pretty,1
serves,1
table,1
analytical,1
end,1
must,1
preface,1
y,1
meet,1
hard,1
such,1
dies,1
facts,1
bristle,1
form,1
demands,1
critical,1
proceeding,1
wants,1
thou,1
present,1
seeks,1
reference,1
remarked,1
before,1
st,1
pro,1
punic,1
pompey,1
bloody,1
traces,1
antony,1
gore,1
death,1
battle,1
caesar,1
days,1
course,1
conquest,1
struggle,1
civil,1
years,1
tile,1
arid,1
wars,1
tragic,1
augustus,1
each,1
elaborate,1
describing,1
noted,1
already,1
ample,1
all,1
ass,1
b,1
w,1
division,1
george,1
eduction,1
roman,1
late,1
appendix,1
west,1
east,1
will,1
same,1
very,1
concern,1
us,1
bedsore,1
now,1
ones,1
only,1
total,1
comprehensive,1
fourth,1
hi,1
european,1
modern,1
college,1
bryn,1
contributed,1
ar,1
commonly,1
middle,1
brings,1
ages,1
story,1
latest,1
results,1
himself,1
avail,1
order,1
asiatic,1
ferdinand,1
n,1
body,1
come,1
yet,1
hew,1
modem,1
ten,1
old,1
california,1
yorke,1
chief,1
dean,1
harvard,1
wright,1
henri,1
translations,1
far,1
seems,1
die,1
excellent,1
derived,1
mainly,1
compilation,1
responsibility,1
editorial,1
founded,1
graduates,1
american,1
stephens,1
journal,1
worse,1
completed,1
fiske,1
new,1
others,1
based,1
out,1
abridged,1
places,1
ha,1
admits,1
what,1
forth,1
sets,1
beg,1
rewritten,1
stevenson,1
colors,1
power,1
large,1
surveys,1
author,1
yale,1
oriental,1
thereabout,1
or,1
japan,1
china,1
survey,1
apart,1
set,1
thirty,1
disposed,1
europe,1
successive,1
tigris,1
columbia,1
euphrates,1
them,1
remains,1
antique,1
cuts,1
diagrams,1
maps,1
every,1
passes,1
successors,1
kingdoms,1
great,1
conquests,1
assyrians,1
through,1
western,1
touch,1
let,1
se,1
cal,1
dr,1
nd,1
chapters,1
inserted,1
he,1
inadequate,1
him,1
seemed,1
jews,1
treatment,1
where,1
art,1
science,1
museum,1
curator,1
episcopal,1
cambridge,1
williams,1
further,1
revised,1
have,1
indian,1
deal,1
tho,1
p,1
lit,1
trow,1
supplied,1
remote,1
powerful,1
tl,1
affecting,1
matter,1
additional,1
matters,1
