term,count
in,17
the,17
and,17
her,12
of,11
she,9
is,8
to,7
was,7
by,6
a,6
tile,5
at,5
an,4
written,4
s,4
interesting,3
with,3
this,3
first,3
it,3
sampson,3
town,3
not,3
that,2
very,2
book,2
had,2
more,2
than,2
for,2
boston,2
well,2
under,2
t,2
prospectus,2
woman,2
little,2
deborah,2
society,2
address,2
on,2
massachusetts,2
lecture,2
york,2
mrs,2
sharon,2
soldier,2
two,2
introduction,2
among,1
describes,1
how,1
references,1
where,1
superintendence,1
powell,1
harper,1
horrid,1
ushered,1
stage,1
degree,1
apologetic,1
delusion,1
polite,1
mariner,1
tells,1
tour,1
stilted,1
high,1
death,1
does,1
tally,1
mention,1
only,1
experiences,1
nothing,1
time,1
carnage,1
mistress,1
havoc,1
flown,1
white,1
plains,1
war,1
peculiar,1
before,1
youth,1
boldest,1
claim,1
simple,1
gen,1
truth,1
let,1
humblest,1
plea,1
sex,1
ends,1
assembly,1
these,1
thrilling,1
lines,1
britain,1
though,1
proud,1
i,1
q,1
female,1
fame,1
speak,1
did,1
wherein,1
perfectly,1
audibly,1
manual,1
exercise,1
being,1
tn,1
complete,1
uniform,1
during,1
festival,1
acquitted,1
herself,1
ease,1
later,1
lectures,1
attendant,1
introduced,1
o,1
rhyme,1
remember,1
thereafter,1
twaddle,1
given,1
worth,1
reprinting,1
born,1
name,1
robert,1
enlisted,1
capt,1
webb,1
company,1
fourth,1
regiment,1
wounded,1
skirmish,1
near,1
tarrytown,1
discharged,1
dates,1
enlistment,1
discharge,1
but,1
curious,1
cents,1
revolution,1
lecturer,1
delivered,1
various,1
towns,1
island,1
new,1
mass,1
american,1
reprinted,1
butterfield,1
historical,1
eugene,1
corresponding,1
secretary,1
portrait,1
pp,1
xi,1
boards,1
are,1
married,1
pure,1
benjamin,1
appearance,1
federal,1
street,1
spoke,1
providence,1
worcester,1
holden,1
brookfield,1
springfield,1
albany,1
nights,1
schenectady,1
springs,1
own,1
journal,1
quoted,1
ill,1
other,1
hand,1
made,1
be,1
procured,1
interest,1
whom,1
one,1
son,1
daughters,1
died,1
honorably,1
enhance,1
pecuniary,1
family,1
which,1
sh,1
came,1
le,1
from,1
attending,1
business,1
details,1
delivering,1
throne,1
