term,count
of,26
the,24
and,9
to,7
her,7
he,5
it,5
was,4
that,4
by,4
in,4
s,3
his,3
o,3
such,3
i,3
duke,3
queen,3
is,3
a,3
as,3
princess,3
who,2
mother,2
york,2
death,2
duchess,2
l,2
letters,2
about,2
had,2
tile,2
them,2
james,2
she,2
lord,2
an,2
italian,2
mary,2
but,2
alfonso,2
with,2
found,1
saw,1
mistress,1
nd,1
max,1
fourteen,1
upon,1
honey,1
p,1
ills,1
him,1
surprised,1
eeriness,1
e,1
ingenuity,1
young,1
characters,1
light,1
years,1
creature,1
fortune,1
negotiate,1
mp,1
were,1
tole,1
hut,1
w,1
cs,1
later,1
learned,1
obstacles,1
put,1
every,1
way,1
until,1
va,1
announced,1
become,1
c,1
q,1
bet,1
saving,1
useless,1
endeavored,1
effort,1
meet,1
so,1
might,1
seem,1
accidental,1
tm,1
ito,1
paris,1
this,1
marl,1
attributed,1
many,1
excellencies,1
yet,1
ph,1
said,1
shown,1
or,1
account,1
life,1
ii,1
married,1
house,1
two,1
three,1
cardinal,1
first,1
wife,1
laura,1
daughter,1
count,1
cousin,1
martin,1
co,1
for,1
written,1
been,1
has,1
contemporaries,1
dispatches,1
own,1
appears,1
throne,1
english,1
shared,1
ever,1
only,1
fascinating,1
biography,1
great,1
under,1
when,1
estates,1
minority,1
became,1
regent,1
have,1
ruled,1
liar,1
rare,1
hi,1
sagacity,1
intelligence,1
envoy,1
called,1
extraordinary,1
woman,1
son,1
while,1
husband,1
after,1
day,1
princesses,1
brilliant,1
most,1
one,1
prince,1
hereditary,1
proxy,1
ne,1
loyal,1
chapel,1
at,1
auspices,1
volume,1
