term,count
the,13
and,10
in,8
s,7
a,7
franklin,7
is,7
of,6
it,6
as,4
england,3
has,3
autobiography,3
his,3
printed,3
memories,2
complete,2
volume,2
even,2
new,2
to,2
be,2
english,2
this,2
william,2
had,2
life,2
here,2
wide,2
circulation,2
that,2
first,2
with,2
i,2
for,2
interesting,1
editor,1
hy,1
shows,1
contributed,1
high,1
ph,1
esteem,1
m,1
which,1
well,1
held,1
lr,1
introduction,1
mr,1
mi,1
contain,1
three,1
all,1
pretend,1
not,1
does,1
net,1
ha,1
though,1
should,1
opus,1
magnum,1
bigelow,1
milch,1
being,1
excellently,1
temperate,1
d,1
enthusiastic,1
both,1
h,1
ore,1
o,1
admirer,1
thoroughly,1
us,1
own,1
he,1
co,1
cloth,1
pp,1
one,1
illustration,1
an,1
macdonald,1
by,1
later,1
account,1
historical,1
preface,1
bibliographical,1
edited,1
text,1
authentic,1
full,1
from,1
now,1
benjamin,1
york,1
little,1
edition,1
can,1
however,1
noteworthy,1
vogue,1
same,1
much,1
strong,1
published,1
originally,1
form,1
altered,1
its,1
years,1
hundred,1
nearly,1
classic,1
been,1
time,1
at,1
said,1
letters,1
