term,count
the,85
of,47
and,26
to,25
in,21
tennis,14
a,12
by,11
as,11
is,11
it,10
game,10
that,9
are,9
t,9
their,7
on,7
i,6
but,6
lawn,6
for,6
he,6
with,6
s,6
this,6
n,5
has,5
be,5
sport,5
play,4
ll,4
been,4
english,4
was,3
l,3
court,3
united,3
many,3
c,3
e,3
ball,3
england,3
at,3
true,3
ad,3
who,3
players,3
p,3
so,3
f,3
well,3
present,3
have,3
big,3
tile,3
io,3
country,2
abroad,2
since,2
name,2
one,2
prominent,2
modern,2
harvey,2
chapter,2
golf,2
future,2
popularity,2
early,2
american,2
more,2
throughout,2
both,2
great,2
ea,2
m,2
j,2
there,2
th,2
competitions,2
hot,2
brothers,2
matches,2
nd,2
success,2
its,2
other,2
history,2
can,2
played,2
which,2
ir,2
ha,2
those,2
do,2
upon,2
them,2
years,2
few,2
here,2
when,2
lit,2
from,2
word,2
his,2
interest,2
trophy,2
air,2
due,2
although,1
hold,1
ame,1
physical,1
fl,1
full,1
tim,1
use,1
ff,1
loll,1
all,1
austria,1
like,1
recent,1
exercise,1
switzerland,1
italy,1
germany,1
along,1
told,1
la,1
white,1
ink,1
australia,1
riviera,1
how,1
g,1
national,1
ill,1
found,1
residents,1
u,1
tourists,1
lover,1
lie,1
excellent,1
keen,1
emperor,1
confined,1
increasing,1
ry,1
ger,1
lt,1
held,1
cl,1
always,1
le,1
himself,1
el,1
where,1
homburg,1
lucy,1
li,1
championships,1
hi,1
o,1
prevent,1
victory,1
decisions,1
courts,1
rule,1
seven,1
best,1
skill,1
celebrated,1
most,1
carried,1
blistered,1
style,1
criticisms,1
reviewed,1
paso,1
cr,1
remark,1
practical,1
thorpe,1
points,1
lay,1
every,1
plays,1
growth,1
slow,1
merits,1
adaptation,1
indians,1
time,1
tr,1
lacrosse,1
aid,1
instructive,1
add,1
illustrations,1
over,1
something,1
know,1
should,1
gain,1
addition,1
return,1
raft,1
iced,1
instead,1
chill,1
not,1
does,1
stimulant,1
mild,1
acts,1
approved,1
drinking,1
tobit,1
ly,1
slid,1
coffee,1
prohibited,1
lo,1
ls,1
hal,1
freely,1
drinks,1
consequently,1
under,1
stroke,1
no,1
tie,1
bali,1
place,1
intended,1
al,1
form,1
party,1
com,1
york,1
xv,1
lop,1
illustrated,1
par,1
illy,1
ho,1
influence,1
r,1
grown,1
now,1
meaning,1
greek,1
compound,1
uncouth,1
gave,1
features,1
today,1
h,1
once,1
we,1
inventor,1
appears,1
however,1
army,1
walter,1
or,1
hall,1
entered,1
long,1
states,1
fol,1
rivals,1
strong,1
vet,1
america,1
indeed,1
greatest,1
ireland,1
wonderful,1
any,1
said,1
than,1
persons,1
probably,1
er,1
career,1
tenn,1
eden,1
continent,1
crude,1
entertaining,1
very,1
latest,1
author,1
contrasted,1
methods,1
were,1
ago,1
principles,1
origin,1
had,1
beginnings,1
decidedly,1
day,1
development,1
interesting,1
work,1
dismisses,1
language,1
outgrowth,1
coined,1
strike,1
prepared,1
cried,1
allying,1
sis,1
fact,1
natural,1
words,1
rh,1
va,1
tl,1
racket,1
royalty,1
french,1
days,1
ever,1
clark,1
visit,1
these,1
thus,1
ibis,1
policy,1
attention,1
entire,1
devote,1
melt,1
referees,1
opposed,1
professional,1
employment,1
handicapping,1
system,1
management,1
unhesitatingly,1
praise,1
far,1
luring,1
instituted,1
adopted,1
case,1
titan,1
patronized,1
better,1
much,1
tournaments,1
near,1
may,1
officials,1
pall,1
te,1
favor,1
look,1
critics,1
caused,1
attained,1
high,1
gives,1
equally,1
sanction,1
championship,1
world,1
emblematic,1
atlantic,1
sides,1
countries,1
two,1
received,1
conditions,1
meets,1
lout,1
dwight,1
challenge,1
silver,1
offer,1
series,1
three,1
our,1
own,1
winning,1
knows,1
mr,1
recapture,1
water,1
across,1
goes,1
team,1
an,1
until,1
remain,1
will,1
cup,1
taking,1
succeeded,1
twice,1
state,1
