term,count
the,63
of,40
and,31
to,14
in,12
with,12
history,10
from,9
a,8
by,7
volume,6
as,6
are,6
john,6
is,6
for,5
tile,5
new,4
it,4
that,4
others,4
this,4
here,4
not,4
five,4
states,4
s,4
smith,4
authorities,4
united,4
one,4
all,4
empire,3
american,3
most,3
next,3
who,3
section,3
two,3
lord,3
be,3
andrew,3
also,3
world,3
among,3
on,3
more,3
volumes,3
then,3
an,3
which,3
well,3
thomas,2
under,2
ages,2
henry,2
so,2
spanish,2
up,2
name,2
text,2
sir,2
xix,2
they,2
scott,2
comes,2
those,2
later,2
south,2
anthology,2
e,2
general,2
include,2
ireland,2
i,2
settlements,2
but,2
fm,2
england,2
clarendon,2
was,2
british,2
french,2
or,2
historians,2
pages,2
p,2
york,2
quoted,2
d,2
any,2
r,2
period,2
times,2
brougham,1
bryce,1
napier,1
now,1
duke,1
bancroft,1
th,1
completes,1
le,1
theodore,1
parkman,1
fiske,1
jefferson,1
roberts,1
las,1
hakluyt,1
coronado,1
champlain,1
colonial,1
early,1
washington,1
named,1
maryland,1
lady,1
retrospect,1
present,1
clive,1
india,1
deals,1
historical,1
view,1
fashion,1
introductory,1
providing,1
writings,1
begins,1
since,1
tracing,1
covering,1
mohammedan,1
virginia,1
canada,1
earlier,1
cover,1
far,1
only,1
bates,1
order,1
africa,1
mogul,1
australia,1
itself,1
occupies,1
col,1
following,1
empires,1
f,1
albert,1
dutch,1
recorded,1
advisers,1
board,1
assistance,1
edited,1
great,1
thousand,1
over,1
nations,1
absorbed,1
slid,1
rise,1
narrative,1
comprehensive,1
op,1
hi,1
do,1
twenty,1
vs,1
he,1
outlook,1
paper,1
into,1
crowded,1
could,1
even,1
detail,1
value,1
no,1
reader,1
intending,1
guidance,1
data,1
furnish,1
than,1
company,1
kind,1
notice,1
ill,1
might,1
nor,1
numerous,1
c,1
revolution,1
aspects,1
some,1
hart,1
bushnell,1
same,1
diplomacy,1
essentials,1
provided,1
chapters,1
americans,1
english,1
selected,1
bradford,1
may,1
cotton,1
helps,1
y,1
de,1
cite,1
editors,1
pro,1
beginning,1
central,1
peru,1
mexico,1
america,1
gives,1
having,1
o,1
lather,1
devoted,1
age,1
final,1
son,1
carlyle,1
m,1
second,1
attention,1
directed,1
poe,1
reginald,1
william,1
kore,1
ft,1
t,1
there,1
tim,1
merit,1
authority,1
robert,1
gardiner,1
macaulay,1
hume,1
however,1
walpole,1
horace,1
necessarily,1
lang,1
book,1
scots,1
queen,1
mary,1
course,1
review,1
green,1
richard,1
sept,1
gibbon,1
reputation,1
undertaking,1
memoirs,1
ca,1
valuable,1
eminent,1
makes,1
extracts,1
longer,1
together,1
weaving,1
ly,1
like,1
u,1
seres,1
complete,1
come,1
additional,1
us,1
sources,1
each,1
country,1
feature,1
both,1
illuminating,1
characteristic,1
distinctive,1
parliament,1
victorious,1
days,1
subject,1
l,1
charles,1
vii,1
stuarts,1
contains,1
matter,1
mostly,1
published,1
treated,1
takes,1
article,1
included,1
lane,1
mr,1
notable,1
walter,1
paris,1
knox,1
chronicle,1
saxon,1
anglo,1
tacitus,1
many,1
citing,1
earliest,1
scottish,1
concerned,1
tr,1
ties,1
morris,1
w,1
miscellany,1
spenser,1
edmund,1
cited,1
about,1
island,1
sly,1
gets,1
patrick,1
st,1
legends,1
before,1
scotland,1
dr,1
iv,1
treatment,1
goldsmith,1
swift,1
besides,1
burke,1
indispensable,1
absolutely,1
evelyn,1
pepys,1
again,1
service,1
their,1
at,1
have,1
compilers,1
cromwell,1
blackstone,1
modern,1
say,1
represented,1
scope,1
wide,1
show,1
suffice,1
used,1
names,1
though,1
nothing,1
enumerated,1
stupendous,1
work,1
need,1
host,1
lind,1
space,1
