term,count
the,32
of,23
to,15
and,12
in,8
a,7
as,6
he,6
for,6
that,6
his,5
it,5
s,4
l,4
is,4
cortes,4
how,4
than,3
history,3
its,3
book,3
was,3
an,3
poverty,2
by,2
at,2
question,2
irish,2
purpose,2
young,2
ireland,2
born,2
n,2
career,2
make,2
him,2
mr,2
cuba,2
rather,2
story,2
i,2
which,2
end,2
called,1
hand,1
strikes,1
one,1
distinctly,1
familiar,1
dona,1
thor,1
woman,1
treachery,1
span,1
ships,1
cruelty,1
d,1
hi,1
tb,1
seem,1
treated,1
with,1
facts,1
tho,1
tells,1
now,1
told,1
whom,1
glories,1
been,1
lines,1
boy,1
better,1
essay,1
calls,1
are,1
influences,1
have,1
combined,1
place,1
state,1
shows,1
climate,1
overpopulation,1
responsible,1
rule,1
land,1
english,1
p,1
other,1
pro,1
smith,1
this,1
country,1
writes,1
home,1
y,1
not,1
wren,1
lure,1
co,1
publication,1
month,1
from,1
ch,1
do,1
pretend,1
consideration,1
attempt,1
trace,1
j,1
t,1
aunt,1
relation,1
latter,1
dar,1
off,1
idle,1
gold,1
takes,1
matter,1
fact,1
would,1
be,1
hard,1
like,1
anything,1
but,1
interesting,1
briefer,1
account,1
intended,1
apparently,1
people,1
reading,1
r,1
has,1
man,1
dissect,1
reader,1
york,1
conqueror,1
mexico,1
frederick,1
heroes,1
american,1
mo,1
new,1
harper,1
interest,1
brothers,1
belongs,1
older,1
newer,1
school,1
biography,1
seeks,1
merits,1
up,1
get,1
spaniard,1
slaves,1
led,1
evil,1
hernando,1
life,1
till,1
when,1
took,1
after,1
some,1
lively,1
adventures,1
married,1
under,1
compulsion,1
presently,1
head,1
plantation,1
gave,1
governor,1
tastes,1
native,1
village,1
traces,1
briefly,1
tale,1
deigned,1
law,1
turned,1
island,1
shipped,1
santo,1
w,1
th,1
design,1
fortune,1
world,1
movement,1
