term,count
the,32
of,28
her,28
to,21
and,19
a,16
is,12
one,11
in,10
she,9
but,8
with,7
be,6
all,6
as,6
has,5
old,5
s,5
by,5
will,4
they,4
that,4
from,4
on,4
than,4
for,4
make,4
who,4
pam,4
pain,4
have,4
at,3
beautiful,3
o,3
this,3
into,3
those,3
always,3
not,3
lovable,3
most,3
any,3
which,3
he,3
volume,3
out,3
up,3
story,2
author,2
more,2
through,2
heard,2
own,2
an,2
point,2
find,2
el,2
or,2
way,2
them,2
d,2
very,2
been,2
other,2
heroines,2
followed,2
beyond,2
quite,2
e,2
heart,2
real,2
does,2
traits,2
happy,2
it,2
power,1
hero,1
incidentally,1
dreaded,1
furnishes,1
whose,1
same,1
time,1
girlhood,1
explanation,1
different,1
fascinating,1
person,1
final,1
adequate,1
creature,1
change,1
known,1
grow,1
renewing,1
others,1
some,1
i,1
fatty,1
duchess,1
nice,1
reader,1
chan,1
house,1
boarding,1
hide,1
try,1
leads,1
pride,1
le,1
appeal,1
our,1
did,1
hen,1
peel,1
ha,1
part,1
t,1
ghostly,1
fashion,1
rather,1
serve,1
memory,1
dotty,1
until,1
had,1
halo,1
seemingly,1
extreme,1
even,1
lead,1
finally,1
fates,1
whom,1
lover,1
exquisite,1
growing,1
enough,1
speed,1
clothes,1
shabby,1
greeting,1
friends,1
hail,1
blind,1
prom,1
youth,1
why,1
cry,1
alternately,1
being,1
flaw,1
herself,1
loved,1
understand,1
though,1
world,1
admirers,1
pa,1
come,1
love,1
doubtful,1
except,1
beauty,1
devoid,1
soften,1
uninteresting,1
imply,1
becomes,1
n,1
young,1
london,1
can,1
described,1
cold,1
month,1
stern,1
hair,1
gray,1
iron,1
man,1
surely,1
thing,1
about,1
ms,1
heroine,1
two,1
novel,1
hew,1
conquests,1
both,1
book,1
without,1
sup,1
outward,1
are,1
invariably,1
sure,1
never,1
living,1
installment,1
drop,1
york,1
so,1
interesting,1
need,1
no,1
fear,1
new,1
pp,1
whit,1
less,1
charming,1
justice,1
second,1
history,1
flowered,1
written,1
urgent,1
request,1
martin,1
states,1
understood,1
liked,1
girl,1
b,1
grown,1
still,1
woman,1
every,1
endearing,1
regretful,1
themselves,1
found,1
fortunes,1
disappointing,1
affairs,1
popular,1
heroes,1
rashly,1
books,1
alluring,1
entertaining,1
vaguely,1
non,1
committal,1
promise,1
lived,1
ever,1
after,1
sequels,1
too,1
often,1
proved,1
great,1
bores,1
worse,1
co,1
further,1
acquaintance,1
delightedly,1
miss,1
pamela,1
mead,1
childish,1
perfection,1
back,1
terri,1
re,1
thor,1
its,1
weakness,1
entirely,1
opinion,1
comes,1
go,1
lucky,1
parents,1
pare,1
knew,1
best,1
again,1
horrible,1
while,1
succeeds,1
grazing,1
distinctly,1
hurt,1
visible,1
extent,1
pant,1
leave,1
behind,1
friend,1
when,1
nurse,1
pilgrim,1
sets,1
nature,1
strength,1
seen,1
arc,1
illustrations,1
kept,1
youthful,1
gay,1
touch,1
qua,1
made,1
child,1
seem,1
von,1
year,1
reckless,1
conventions,1
kinds,1
habit,1
making,1
mind,1
bettina,1
observations,1
experience,1
sequel,1
offered,1
decides,1
guidance,1
continue,1
striking,1
characteristics,1
somehow,1
these,1
rages,1
