term,count
the,73
of,44
to,24
and,22
in,18
a,12
which,12
is,9
it,8
be,7
this,7
but,6
will,6
by,6
more,5
our,5
on,5
at,5
economic,5
s,5
his,5
great,4
all,4
than,4
that,4
own,4
capital,4
reader,3
not,3
states,3
its,3
protection,3
he,3
as,3
dr,3
has,3
been,3
first,3
from,3
have,3
author,3
figures,3
are,3
science,3
atkinson,3
thesis,2
war,2
conclusion,2
best,2
obstructions,2
free,2
increased,2
interest,2
between,2
statistician,2
only,2
an,2
off,2
share,2
life,2
united,2
necessaries,2
we,2
view,2
same,2
time,2
greater,2
population,2
restrictions,2
relatively,2
absolutely,2
labor,2
cost,2
foreign,2
essays,2
products,2
enjoy,2
page,2
true,2
i,2
equal,2
one,2
with,2
collection,2
co,2
facts,2
if,2
essay,2
so,2
much,2
diminished,1
eight,1
years,1
l,1
say,1
product,1
joint,1
shall,1
spent,1
d,1
falling,1
other,1
hand,1
augmented,1
suffice,1
following,1
should,1
both,1
pr,1
stronger,1
show,1
o,1
thoughtful,1
see,1
annual,1
sum,1
aggregate,1
quantity,1
al,1
commerce,1
removed,1
excess,1
viii,1
exported,1
there,1
condition,1
equilibrium,1
debt,1
supply,1
demand,1
tendency,1
e,1
bearing,1
appears,1
paid,1
text,1
keynote,1
epigrammatic,1
utterance,1
applied,1
frederic,1
could,1
ba,1
what,1
fare,1
glance,1
argument,1
potentialities,1
philosopher,1
last,1
papers,1
entirely,1
prevails,1
type,1
warfare,1
most,1
inclusive,1
imperialist,1
anti,1
admittedly,1
appear,1
advantage,1
compiled,1
computed,1
proved,1
while,1
records,1
shows,1
corollary,1
conquest,1
sf,1
philippine,1
islands,1
n,1
country,1
dates,1
prophet,1
assets,1
reside,1
bee,1
el,1
named,1
leads,1
few,1
right,1
every,1
use,1
capacity,1
soon,1
abated,1
optimistic,1
especially,1
p,1
es,1
juggled,1
trades,1
union,1
movement,1
subordinating,1
individual,1
ambition,1
fie,1
fair,1
mistaken,1
collective,1
benefits,1
optimism,1
midst,1
countries,1
consumption,1
protect,1
enlivened,1
humor,1
any,1
length,1
or,1
exact,1
brevity,1
knowledge,1
gives,1
clear,1
understanding,1
fallacies,1
tariffs,1
do,1
obstruct,1
wise,1
natural,1
movements,1
trade,1
disadvantage,1
professed,1
protectionist,1
would,1
likely,1
read,1
thoughtfully,1
learn,1
deal,1
profit,1
him,1
treatise,1
ts,1
for,1
style,1
basis,1
edward,1
volume,1
pp,1
new,1
york,1
boston,1
mo,1
cloth,1
subjects,1
wisdom,1
sage,1
finds,1
expression,1
agreeably,1
policy,1
narrative,1
bright,1
times,1
even,1
playful,1
dealing,1
concerns,1
reads,1
after,1
end,1
readily,1
indeed,1
introduction,1
domain,1
know,1
example,1
under,1
removing,1
goods,1
means,1
payment,1
navigation,1
laws,1
keep,1
merchant,1
vessels,1
seas,1
general,1
follows,1
may,1
therefore,1
attained,1
possible,1
taxes,1
exchange,1
now,1
exists,1
among,1
citizens,1
potential,1
arts,1
toward,1
required,1
people,1
leading,1
shortly,1
present,1
conditions,1
import,1
obstructive,1
such,1
consumes,1
pu,1
worth,1
many,1
volumes,1
written,1
establish,1
theses,1
about,1
constituting,1
less,1
per,1
cent,1
globe,1
produces,1
staple,1
way,1
articles,1
constitute,1
comforts,1
consequently,1
possessing,1
paramount,1
power,1
supplying,1
world,1
abundance,1
adding,1
measure,1
nothing,1
stands,1
period,1
