term,count
the,38
of,31
in,12
and,10
to,8
a,7
that,5
literature,5
which,5
into,4
for,4
this,3
poetry,3
from,3
edition,3
is,3
periods,3
first,3
it,3
their,3
verse,3
bards,3
with,2
an,2
different,2
claims,2
historical,2
on,2
structure,2
form,2
s,2
then,2
o,2
european,2
by,2
ireland,2
gael,2
new,2
introduction,2
irish,2
poetic,2
quoted,1
skill,1
intrinsic,1
as,1
et,1
fertility,1
being,1
up,1
any,1
takes,1
language,1
dublin,1
song,1
kings,1
experiments,1
int,1
architecture,1
rhyme,1
cry,1
themes,1
picturesque,1
recognize,1
were,1
also,1
oasis,1
add,1
makes,1
he,1
scholarly,1
poets,1
brief,1
divided,1
centuries,1
who,1
poems,1
fill,1
body,1
book,1
are,1
fourteen,1
europe,1
older,1
essay,1
ancient,1
filled,1
much,1
h,1
t,1
three,1
literary,1
allusion,1
selections,1
entirely,1
independent,1
greece,1
rome,1
discussion,1
u,1
mind,1
ends,1
held,1
plea,1
study,1
nation,1
when,1
lome,1
had,1
fallen,1
represented,1
sets,1
massacre,1
years,1
scribner,1
sons,1
second,1
anthology,1
translated,1
gaelic,1
few,1
ago,1
specimens,1
received,1
cordial,1
welcome,1
lovers,1
follows,1
plan,1
giving,1
charles,1
imported,1
york,1
pp,1
old,1
gall,1
examples,1
erin,1
done,1
english,1
after,1
meters,1
modes,1
george,1
md,1
frontispiece,1
portrait,1
carolan,1
bard,1
series,1
earliest,1
meant,1
sole,1
way,1
modern,1
recognition,1
forth,1
interest,1
comes,1
fact,1
representative,1
known,1
part,1
world,1
was,1
outside,1
camp,1
roman,1
rule,1
interesting,1
very,1
discusses,1
preface,1
recent,1
time,1
essaying,1
present,1
them,1
spirit,1
originals,1
several,1
versions,1
have,1
been,1
introduced,1
illustrate,1
show,1
styles,1
th,1
