term,count
the,229
of,163
to,89
and,74
in,70
a,47
his,38
is,37
he,27
not,26
s,25
that,20
this,20
for,20
it,20
all,19
on,18
but,16
have,15
was,15
as,14
history,14
i,14
great,14
rhodes,13
or,13
which,13
south,12
at,12
with,11
be,11
war,10
from,10
more,10
american,10
has,10
their,9
work,9
would,8
reader,8
are,8
who,8
these,8
one,7
out,7
there,7
historian,7
mr,7
southern,7
by,7
what,7
him,7
other,6
an,6
tile,6
only,6
adams,6
than,6
new,6
confederate,6
been,6
years,6
l,6
events,5
such,5
davis,5
even,5
negro,5
full,5
volumes,5
historical,5
why,5
point,5
people,5
men,5
said,5
both,5
o,5
lee,5
does,5
few,5
when,4
every,4
account,4
if,4
two,4
they,4
n,4
over,4
government,4
up,4
many,4
success,4
any,4
f,4
prove,4
how,4
could,4
we,4
say,4
never,4
no,4
e,4
here,4
place,4
after,4
sumner,4
upon,4
enough,3
cause,3
failure,3
sought,3
far,3
g,3
again,3
may,3
military,3
read,3
seeing,3
our,3
once,3
volume,3
d,3
scientific,3
most,3
chapters,3
author,3
thus,3
man,3
charles,3
grant,3
had,3
political,3
almost,3
shown,3
logic,3
second,3
c,3
accounts,3
were,3
led,3
air,3
story,3
well,3
himself,3
can,3
hardly,3
quite,3
le,3
failed,3
true,3
important,3
states,3
industry,3
whose,3
results,3
some,3
its,3
will,3
civil,3
treatment,3
re,3
about,3
jefferson,3
causes,3
though,3
close,3
fl,2
appearance,2
w,2
weakness,2
t,2
james,2
subject,2
stevens,2
roman,2
them,2
senator,2
nd,2
francis,2
u,2
co,2
equally,2
theory,2
henry,2
movements,2
carry,2
result,2
standards,2
recent,2
john,2
rightful,2
historic,2
importance,2
eminent,2
into,2
fair,2
victory,2
robert,2
final,2
rule,2
life,2
now,2
nation,2
m,2
honest,2
fatal,2
world,2
ignorance,2
so,2
knows,2
simple,2
policy,2
case,2
suffrage,2
united,2
charleston,2
convention,2
whole,2
between,2
reconstruction,2
north,2
treaty,2
secession,2
without,2
december,2
election,2
example,2
ill,2
lie,2
president,2
appear,2
none,2
hands,2
indeed,2
makes,2
live,2
before,2
either,2
therefore,2
mighty,2
side,2
predecessors,2
strong,2
essential,2
ever,2
leading,2
white,2
honor,2
plan,2
bring,2
fifth,2
national,2
movement,2
disposed,2
lr,2
event,2
latest,2
times,2
make,2
take,2
vol,2
then,2
perfectly,2
mad,2
hero,2
first,2
allow,2
too,2
german,2
steadily,2
ports,2
probably,2
english,2
remains,2
however,2
avoid,2
gettysburg,2
toward,2
mind,2
time,2
thought,2
general,2
modern,2
confederacy,2
yet,2
books,2
content,2
leaves,2
show,2
good,2
crisis,2
called,2
brilliant,2
fall,2
th,2
philosophy,2
necessity,2
monumental,2
reason,2
under,2
leaders,2
canons,2
undoing,1
greenback,1
kept,1
blockade,1
ruin,1
terms,1
opened,1
reflects,1
offer,1
panic,1
open,1
contested,1
sherman,1
brought,1
victories,1
model,1
ironclads,1
hayes,1
necessary,1
relations,1
international,1
starting,1
tiffs,1
enter,1
conditional,1
noble,1
scrutiny,1
macon,1
suited,1
thinks,1
r,1
prophecy,1
commendation,1
awful,1
deal,1
past,1
pact,1
rex,1
problems,1
mainly,1
during,1
meant,1
certainly,1
round,1
words,1
kindliness,1
richmond,1
independence,1
washington,1
cabinet,1
because,1
student,1
reluctant,1
recognition,1
sprang,1
authorities,1
short,1
weeks,1
being,1
signs,1
convinced,1
itself,1
wring,1
speedy,1
confidently,1
counted,1
class,1
governing,1
april,1
interpretation,1
certain,1
later,1
trio,1
decade,1
napoleon,1
use,1
transcends,1
empire,1
holy,1
study,1
justly,1
set,1
boast,1
ah,1
methods,1
depart,1
shipyards,1
building,1
carefully,1
estimating,1
parkman,1
ablest,1
appomattox,1
emphasizes,1
refusal,1
says,1
situation,1
naval,1
often,1
given,1
appreciation,1
duo,1
exhaustion,1
attribute,1
already,1
inevitable,1
indicated,1
explanation,1
eagerly,1
quarters,1
disappointment,1
keen,1
likely,1
adds,1
fortunate,1
seventh,1
hod,1
peonage,1
limited,1
privileges,1
forestalled,1
radicals,1
horror,1
ted,1
pages,1
did,1
seize,1
paid,1
ring,1
her,1
strange,1
very,1
credit,1
sm,1
texas,1
california,1
protection,1
granting,1
able,1
foreseen,1
where,1
rm,1
universal,1
tried,1
else,1
reasoning,1
parallel,1
ought,1
also,1
further,1
black,1
skin,1
disfranchised,1
doors,1
elder,1
operate,1
johnson,1
go,1
revived,1
same,1
idea,1
bitter,1
ho,1
honestly,1
santo,1
domingo,1
reading,1
sustain,1
feared,1
order,1
familiar,1
der,1
hostility,1
louse,1
tut,1
irons,1
cannot,1
regarded,1
today,1
mast,1
quarrel,1
tweed,1
me,1
campaign,1
metropolis,1
rant,1
greedy,1
greater,1
risk,1
helpless,1
attended,1
behalf,1
brutal,1
embarked,1
decades,1
object,1
cupidity,1
fearless,1
ls,1
probable,1
should,1
ling,1
sine,1
