term,count
of,40
the,34
and,18
to,18
a,13
his,12
that,11
in,10
queen,7
tile,6
her,6
caroline,6
not,5
years,5
from,4
this,4
s,4
with,4
more,4
he,4
was,4
be,4
she,4
had,4
it,4
europe,3
book,3
finally,3
than,3
george,3
we,3
is,3
has,3
an,3
prince,3
t,3
england,3
by,3
for,3
are,2
marry,2
letters,2
debts,2
reached,2
spent,2
six,2
king,2
even,2
being,2
year,2
would,2
little,2
death,2
gentleman,2
story,2
as,2
first,2
indeed,2
old,2
herself,2
cf,2
what,2
into,2
were,2
time,2
bride,2
five,2
its,2
twenty,2
scandals,2
which,2
now,2
some,2
have,2
been,2
numerous,2
or,2
tr,2
iv,2
there,2
those,2
signor,2
cousin,1
opinion,1
noteworthy,1
rid,1
au,1
used,1
duke,1
net,1
seems,1
daughter,1
doubt,1
character,1
extracts,1
shape,1
tale,1
him,1
euphemistically,1
whole,1
bad,1
lot,1
trio,1
aversion,1
tame,1
separated,1
until,1
e,1
spun,1
apparently,1
fine,1
later,1
haired,1
consort,1
separation,1
author,1
considerably,1
differs,1
lind,1
try,1
features,1
mysterious,1
after,1
few,1
theories,1
desire,1
woman,1
second,1
suture,1
fertile,1
writes,1
could,1
devise,1
chosen,1
rh,1
about,1
left,1
devoted,1
trailing,1
ladle,1
especially,1
gentlemen,1
oil,1
slay,1
over,1
nd,1
asia,1
inch,1
ts,1
records,1
nearly,1
mind,1
hundred,1
x,1
americans,1
directness,1
fool,1
speak,1
words,1
romantic,1
attractive,1
title,1
indiscretions,1
hi,1
did,1
put,1
very,1
leniently,1
knowing,1
constantly,1
busy,1
name,1
deliberately,1
ill,1
make,1
securing,1
c,1
public,1
none,1
malodorous,1
better,1
aired,1
dragged,1
nauseous,1
length,1
through,1
no,1
end,1
private,1
so,1
gossip,1
memoirs,1
state,1
paper,1
culmination,1
famous,1
trial,1
parliament,1
effort,1
obtain,1
prolific,1
house,1
amounted,1
reproduced,1
scandal,1
revived,1
tragedy,1
brunswick,1
translated,1
frederic,1
chapman,1
italian,1
paolo,1
illustrations,1
contemporary,1
royal,1
portraits,1
prints,1
pp,1
york,1
john,1
lane,1
company,1
among,1
all,1
innumerable,1
divorce,1
eighty,1
since,1
extent,1
ally,1
intention,1
marrying,1
succession,1
throne,1
determined,1
convinced,1
curtail,1
pleasures,1
freedom,1
but,1
ended,1
induced,1
consent,1
marriage,1
on,1
government,1
come,1
payment,1
although,1
civil,1
list,1
without,1
afro,1
wales,1
then,1
if,1
enough,1
our,1
own,1
crowned,1
uncrowned,1
comes,1
prof,1
cleric,1
opening,1
door,1
century,1
sewage,1
chamber,1
lest,1
forget,1
perhaps,1
people,1
days,1
wicked,1
future,1
interesting,1
