term,count
the,25
of,19
to,16
and,14
in,11
was,9
bishop,8
a,8
with,7
potter,7
as,6
he,6
for,6
it,5
society,5
his,4
their,4
people,4
how,4
that,4
by,4
is,4
she,3
its,3
work,3
i,3
important,2
know,2
my,2
him,2
fully,2
every,2
an,2
bow,2
shows,2
learned,2
working,2
well,2
were,2
industrial,2
those,2
miss,2
church,2
interest,2
who,2
associated,2
s,2
l,2
advancement,2
one,2
her,2
labor,2
vein,1
john,1
effort,1
mitchell,1
appeal,1
higher,1
lu,1
better,1
life,1
allin,1
doubt,1
spoke,1
similar,1
toward,1
we,1
hi,1
act,1
country,1
declares,1
w,1
contact,1
ind,1
eloquent,1
pleas,1
justice,1
kin,1
fox,1
social,1
moral,1
uplift,1
t,1
minds,1
word,1
remarked,1
few,1
during,1
past,1
appreciate,1
be,1
sympathized,1
hopes,1
purposes,1
aspirations,1
poor,1
known,1
anxious,1
take,1
do,1
something,1
helpful,1
ameliorating,1
condition,1
these,1
two,1
time,1
department,1
leaders,1
may,1
years,1
have,1
been,1
ir,1
informed,1
daring,1
wu,1
national,1
disposition,1
civic,1
expressions,1
federation,1
thrown,1
means,1
privilege,1
being,1
name,1
commonly,1
spoken,1
familiar,1
c,1
actively,1
interested,1
this,1
served,1
president,1
secretary,1
position,1
easer,1
help,1
strong,1
ions,1
which,1
gompers,1
association,1
generous,1
affectionate,1
tribute,1
f,1
richly,1
deserved,1
paid,1
harriette,1
little,1
book,1
entitled,1
thomas,1
inc,1
m,1
officially,1
intelligent,1
efforts,1
behalf,1
quotations,1
what,1
preached,1
benefits,1
accrued,1
general,1
through,1
activities,1
also,1
able,1
show,1
welfare,1
appreciative,1
value,1
them,1
samuel,1
practiced,1
records,1
way,1
most,1
from,1
public,1
addresses,1
dating,1
back,1
regarded,1
duties,1
practical,1
concern,1
itself,1
tho,1
affairs,1
classes,1
considered,1
friend,1
