term,count
the,80
of,80
and,50
in,33
to,18
is,17
spanish,16
a,13
literature,13
on,12
that,11
as,9
influence,9
from,8
it,8
english,8
these,8
his,7
he,7
s,6
at,5
de,5
which,5
but,5
all,5
mr,5
this,5
be,4
or,4
may,4
comparative,4
science,4
was,4
works,4
history,4
every,4
have,4
their,4
spain,4
england,4
new,3
i,3
found,3
chapters,3
with,3
has,3
romance,3
university,3
novel,3
by,3
almost,3
europe,3
plays,3
though,3
far,3
hume,3
came,2
romances,2
said,2
no,2
martin,2
years,2
through,2
hums,2
would,2
certain,2
european,2
less,2
not,2
two,2
drama,2
phenomena,2
sources,2
chief,2
only,2
enough,2
tragedy,2
are,2
for,2
indeed,2
especially,2
appeared,2
an,2
case,2
volume,2
america,2
b,2
value,2
upon,2
such,2
too,2
germany,2
late,2
country,2
learning,2
without,2
within,2
both,2
its,2
made,2
study,2
there,2
them,2
more,2
development,2
were,2
novels,2
literatures,2
connection,2
individual,2
few,2
series,2
doubt,1
immortal,1
henry,1
g,1
lie,1
appearance,1
banks,1
tom,1
finn,1
t,1
jr,1
same,1
horatio,1
basis,1
let,1
products,1
another,1
mentioned,1
gentlemen,1
verona,1
passing,1
queen,1
corinth,1
rescue,1
love,1
traces,1
appear,1
do,1
f,1
outpourings,1
themselves,1
reappears,1
whence,1
reid,1
mayne,1
j,1
capers,1
bias,1
last,1
li,1
figures,1
aler,1
great,1
cloth,1
au,1
lecturer,1
stories,1
fie,1
incredible,1
tr,1
protagonist,1
sent,1
even,1
mental,1
journey,1
regard,1
examiner,1
ia,1
real,1
plain,1
queerer,1
cut,1
degree,1
lost,1
phenomenon,1
work,1
hand,1
other,1
lit,1
important,1
classifying,1
significance,1
small,1
usually,1
researches,1
doubtful,1
carrying,1
students,1
threatens,1
now,1
danger,1
here,1
added,1
word,1
convincing,1
behind,1
thing,1
tendency,1
classify,1
september,1
york,1
critic,1
competent,1
quality,1
esteemed,1
rightly,1
arnold,1
matthew,1
di,1
loss,1
existence,1
right,1
form,1
aesthetic,1
lead,1
often,1
imagination,1
label,1
somewhat,1
principal,1
evidence,1
based,1
dryden,1
dramatic,1
post,1
different,1
restoration,1
after,1
italian,1
taken,1
frequently,1
elizabethan,1
plots,1
says,1
hen,1
e,1
gross,1
ra,1
guilty,1
venice,1
merchant,1
sheridan,1
greater,1
detailed,1
lass,1
attention,1
intelligently,1
clearly,1
presents,1
literary,1
transmitted,1
comedy,1
latin,1
turn,1
showed,1
fellow,1
lesser,1
re,1
corneille,1
aries,1
per,1
contain,1
french,1
did,1
stop,1
course,1
nor,1
large,1
tangible,1
visible,1
constant,1
markedly,1
differs,1
therein,1
indirect,1
circuitously,1
been,1
northern,1
always,1
potent,1
subject,1
ostensible,1
strictly,1
himself,1
confined,1
had,1
interrelations,1
intercommunications,1
between,1
italy,1
oriental,1
rune,1
o,1
introductory,1
can,1
adventure,1
above,1
topics,1
primary,1
discussion,1
arrives,1
before,1
lengthy,1
five,1
writes,1
so,1
france,1
portly,1
filling,1
difficulty,1
pupils,1
dwelt,1
constantly,1
woodberry,1
profs,1
men,1
mention,1
numerous,1
teachers,1
critics,1
lyons,1
joseph,1
m,1
institutions,1
way,1
making,1
rapidly,1
contribution,1
fruitfulness,1
come,1
outset,1
distinguished,1
systematic,1
les,1
similar,1
erse,1
prose,1
nations,1
main,1
dealt,1
volumes,1
press,1
columbia,1
issued,1
studies,1
noteworthiness,1
some,1
body,1
fruitful,1
letters,1
western,1
smollett,1
translated,1
present,1
past,1
fiction,1
cervantes,1
exemplary,1
likewise,1
printing,1
first,1
guzman,1
illuminating,1
later,1
fourteen,1
translation,1
lac,1
powerfully,1
most,1
helped,1
picaresque,1
simply,1
impossible,1
typical,1
rogue,1
fielding,1
career,1
culminated,1
defoe,1
minor,1
humor,1
trickery,1
progress,1
triumphant,1
continued,1
thomas,1
jack,1
early,1
adventures,1
complicated,1
endless,1
hero,1
wu,1
century,1
eighteenth,1
pastoral,1
amplification,1
curious,1
chivalry,1
us,1
interest,1
profoundest,1
then,1
mythology,1
commonplaces,1
among,1
northward,1
thence,1
writers,1
medium,1
dicta,1
moral,1
passage,1
traditions,1
life,1
into,1
shepherds,1
ear,1
till,1
reading,1
popular,1
proved,1
imitations,1
old,1
known,1
well,1
sidney,1
philip,1
sir,1
than,1
man,1
imitators,1
diana,1
class,1
ll,1
