term,count
the,18
of,16
a,13
is,12
and,9
in,7
which,7
browning,6
to,5
it,4
as,4
s,4
his,4
so,4
poet,3
sometimes,3
by,3
little,2
that,2
contribution,2
be,2
any,2
last,2
word,2
life,2
volume,2
prof,2
man,2
but,2
even,2
too,2
this,2
poetry,2
new,2
english,2
he,2
robert,2
many,2
not,2
on,2
apt,1
informing,1
bit,1
vaguely,1
large,1
will,1
figuratively,1
are,1
found,1
volumes,1
if,1
such,1
or,1
consciousness,1
threader,1
no,1
out,1
merely,1
appreciative,1
more,1
evolved,1
great,1
interested,1
less,1
with,1
another,1
seeks,1
trace,1
very,1
readable,1
way,1
seventh,1
modern,1
writers,1
series,1
includes,1
already,1
stevenson,1
matthew,1
arnold,1
ruskin,1
tennyson,1
huxley,1
withal,1
poems,1
dramatic,1
heretical,1
influence,1
marriage,1
ancestry,1
enters,1
into,1
controversy,1
side,1
longer,1
at,1
points,1
gives,1
fairly,1
satisfactory,1
analysis,1
disputed,1
view,1
interpretative,1
nevertheless,1
living,1
its,1
retains,1
subject,1
long,1
can,1
nor,1
never,1
mythical,1
sense,1
only,1
admission,1
frank,1
advantage,1
has,1
yet,1
end,1
interpretations,1
among,1
co,1
mead,1
york,1
pp,1
mo,1
manchester,1
university,1
literature,1
professor,1
ch,1
interest,1
assume,1
course,1
utter,1
interpreters,1
rest,1
like,1
agreed,1
time,1
some,1
for,1
have,1
critics,1
whom,1
upon,1
except,1
really,1
book,1
point,1
however,1
there,1
sanity,1
usual,1
insight,1
considerable,1
shows,1
undoubtedly,1
work,1
contributions,1
fertile,1
unusually,1
seems,1
study,1
thackeray,1
