term,count
the,33
of,22
and,21
to,18
for,17
in,14
a,9
be,8
by,7
is,7
that,7
we,5
palaces,5
but,4
it,4
who,4
not,4
most,4
us,4
one,3
these,3
such,3
matter,3
have,3
city,3
which,3
his,3
would,3
florentine,3
this,3
book,3
all,2
being,2
sort,2
much,2
new,2
medici,2
some,2
with,2
e,2
as,2
born,2
italy,2
stories,2
so,2
christendom,2
has,2
grateful,2
their,2
tile,2
reputed,2
popular,2
few,2
only,2
florence,2
her,2
on,2
add,2
pages,2
winter,2
are,2
stones,1
cheek,1
noblest,1
record,1
portion,1
province,1
mighty,1
he,1
ly,1
ls,1
contemporary,1
means,1
possible,1
when,1
authentic,1
giovanni,1
told,1
among,1
princes,1
century,1
biography,1
other,1
thanking,1
manner,1
god,1
i,1
says,1
example,1
thank,1
him,1
behavior,1
dissolute,1
document,1
jowl,1
telling,1
know,1
worthiest,1
renaissance,1
profit,1
instance,1
scathing,1
criticism,1
cosimo,1
de,1
writing,1
architect,1
anent,1
certain,1
pretentious,1
palace,1
discerned,1
far,1
flora,1
admirable,1
rather,1
attract,1
envy,1
fellow,1
citizens,1
than,1
beauty,1
ornament,1
own,1
escorts,1
mid,1
provinces,1
back,1
addition,1
caused,1
me,1
worthy,1
beautiful,1
birthplace,1
whole,1
world,1
fragment,1
glad,1
preserved,1
though,1
v,1
reek,1
out,1
date,1
could,1
wish,1
our,1
modern,1
millionaires,1
might,1
b,1
led,1
hark,1
culture,1
well,1
rex,1
more,1
stately,1
gloomy,1
almost,1
too,1
ask,1
work,1
subtle,1
quality,1
atmosphere,1
reader,1
must,1
find,1
himself,1
sure,1
reason,1
recommending,1
armchair,1
traveler,1
author,1
had,1
evidently,1
no,1
pretensions,1
thrown,1
lights,1
heart,1
study,1
janet,1
ross,1
many,1
illustrations,1
adelaide,1
york,1
co,1
hustling,1
tourist,1
solid,1
reference,1
open,1
any,1
may,1
purpose,1
spending,1
intelligently,1
or,1
having,1
visited,1
lily,1
keeps,1
nd,1
strenuously,1
murders,1
perhaps,1
about,1
found,1
can,1
then,1
let,1
way,1
th,1
been,1
compressed,1
illustrated,1
bewildering,1
political,1
issues,1
alternate,1
upheavals,1
noble,1
family,1
another,1
accounts,1
sumptuous,1
dogged,1
uprisings,1
hideous,1
information,1
varied,1
rich,1
do,1
she,1
concentrated,1
giving,1
thoughtful,1
something,1
re,1
value,1
those,1
kind,1
folk,1
up,1
individually,1
glass,1
jars,1
preserving,1
cans,1
fruits,1
days,1
should,1
go,1
without,1
impossible,1
convenience,1
