term,count
the,142
of,107
and,50
to,39
a,37
in,35
is,34
that,29
he,26
her,26
for,23
his,23
had,20
s,19
as,16
which,14
life,12
by,12
from,12
she,11
has,11
not,10
its,10
adams,9
him,9
with,9
laura,9
but,9
it,9
tile,9
one,9
soul,8
glasgow,8
who,8
miss,8
was,7
we,7
be,7
have,7
man,7
this,7
at,7
i,6
novel,6
an,6
love,6
all,6
than,6
upon,5
own,5
thing,5
into,5
story,5
first,5
more,5
new,5
l,5
so,4
himself,4
human,4
wilde,4
or,4
much,4
character,4
should,4
come,4
only,4
are,4
been,4
last,4
no,4
nor,4
wife,4
power,4
york,4
might,3
strength,3
too,3
between,3
god,3
always,3
heart,3
can,3
under,3
tragedy,3
things,3
outside,3
old,3
almost,3
house,3
read,3
wheel,3
work,3
other,3
very,3
learned,3
men,3
roger,3
up,3
impossible,3
these,3
happiness,3
whom,3
however,3
novels,3
indeed,3
true,3
goodness,3
led,3
equal,3
virginia,3
bridewell,3
take,3
husband,3
book,3
gerty,3
tobacco,2
clear,2
gives,2
experience,2
best,2
three,2
books,2
re,2
pleasure,2
quite,2
gone,2
fields,2
many,2
sake,2
connie,2
brought,2
strong,2
face,2
may,2
soil,2
better,2
getty,2
above,2
shows,2
happy,2
knowledge,2
nothing,2
me,2
without,2
natural,2
bit,2
again,2
romance,2
important,2
find,2
point,2
what,2
touch,2
because,2
done,2
give,2
time,2
through,2
lies,2
renounce,2
obscure,2
ellen,2
review,2
light,2
there,2
times,2
written,2
laurels,2
author,2
metropolis,2
sin,2
takes,2
jostling,2
back,2
method,2
become,2
plantation,2
lonely,2
found,2
hand,2
drama,2
well,2
seems,2
now,2
portrayal,2
south,2
young,2
circle,2
poet,2
they,2
while,2
verse,2
voice,2
after,2
each,2
characters,2
whose,2
lived,2
made,2
beautiful,2
social,2
instant,2
peculiarly,2
liss,2
interest,2
ever,2
mirth,2
fiction,2
hers,2
any,2
w,2
enough,2
perhaps,1
possess,1
distractedly,1
when,1
within,1
night,1
since,1
gain,1
general,1
appreciated,1
world,1
whatever,1
lay,1
stage,1
also,1
lift,1
forfeiture,1
aware,1
sought,1
willing,1
shame,1
bye,1
poverty,1
saying,1
decisive,1
sickness,1
neither,1
external,1
oblivious,1
independent,1
entered,1
willed,1
peace,1
pen,1
unspeakable,1
word,1
large,1
question,1
midst,1
moved,1
er,1
misery,1
gradually,1
slender,1
volume,1
city,1
responsive,1
leave,1
deepest,1
achieved,1
steps,1
traces,1
manliest,1
about,1
right,1
surface,1
live,1
representing,1
goes,1
succeed,1
v,1
few,1
belongs,1
triumph,1
therein,1
genuine,1
task,1
easy,1
set,1
degraded,1
relations,1
depicting,1
drawing,1
service,1
make,1
great,1
them,1
among,1
truly,1
walks,1
glancing,1
complete,1
renunciation,1
self,1
hour,1
said,1
poetry,1
preceding,1
homely,1
color,1
humor,1
sumptuous,1
do,1
tn,1
path,1
points,1
go,1
directness,1
convincing,1
simple,1
played,1
us,1
reminds,1
wronged,1
cruelly,1
toward,1
clever,1
talk,1
tenderness,1
pity,1
whether,1
perfect,1
attitude,1
weakness,1
half,1
flesh,1
still,1
desire,1
field,1
unfulfilled,1
added,1
ground,1
due,1
joys,1
toils,1
greatness,1
greater,1
forfeited,1
beggary,1
gained,1
eats,1
battle,1
boy,1
virtue,1
achieve,1
merely,1
value,1
clashing,1
