term,count
the,22
of,16
and,11
a,9
her,7
to,7
s,6
it,5
is,4
in,4
london,4
with,3
as,3
from,2
i,2
an,2
might,2
into,2
by,2
so,2
all,2
strange,2
be,2
author,2
just,2
which,2
have,2
not,2
for,2
burden,1
definer,1
man,1
white,1
at,1
would,1
music,1
said,1
dev,1
set,1
bits,1
character,1
ives,1
people,1
enlivens,1
pages,1
clever,1
talk,1
had,1
definition,1
rag,1
time,1
soul,1
idle,1
present,1
half,1
modern,1
made,1
brilliant,1
obnoxious,1
over,1
happy,1
accentuated,1
americans,1
turn,1
no,1
too,1
good,1
better,1
more,1
os,1
commendation,1
modest,1
publishers,1
when,1
bye,1
are,1
n,1
story,1
meets,1
its,1
effect,1
upon,1
file,1
strangers,1
characters,1
without,1
spontaneous,1
diverging,1
abnormal,1
both,1
events,1
development,1
surprisingly,1
ia,1
preface,1
same,1
that,1
dr,1
satire,1
almost,1
serve,1
novel,1
foiling,1
arm,1
plunged,1
south,1
magnate,1
his,1
pretty,1
nature,1
human,1
changes,1
material,1
spite,1
yet,1
writes,1
mrs,1
today,1
tim,1
cry,1
far,1
la,1
net,1
co,1
yore,1
de,1
daughter,1
there,1
they,1
z,1
being,1
concerns,1
chief,1
impatient,1
trifle,1
seem,1
tale,1
place,1
y,1
take,1
affair,1
love,1
power,1
exceptional,1
interest,1
find,1
reader,1
told,1
well,1
misadventures,1
series,1
involved,1
become,1
base,1
most,1
betrayed,1
confidence,1
placed,1
ill,1
their,1
hour,1
