term,count
the,37
and,20
of,20
to,9
is,8
her,6
his,6
a,6
by,5
in,5
an,5
she,4
that,3
though,3
blood,3
indian,3
all,3
i,3
has,3
are,3
rood,3
with,3
nursing,2
as,2
at,2
crystal,2
boy,2
english,2
when,2
general,2
up,2
son,2
not,2
chief,2
gould,2
s,2
upon,2
mrs,2
pope,2
case,2
philip,2
between,2
its,2
he,2
novel,2
conflict,2
rushing,1
too,1
evidently,1
children,1
novice,1
women,1
be,1
successful,1
it,1
ma,1
seems,1
men,1
war,1
sincere,1
make,1
r,1
considering,1
lack,1
makes,1
tribe,1
tried,1
tray,1
subsequent,1
rescues,1
heroine,1
whom,1
one,1
save,1
knife,1
scalping,1
love,1
pot,1
skill,1
tory,1
tomahawk,1
die,1
little,1
author,1
seriously,1
l,1
hero,1
practically,1
printing,1
published,1
eva,1
pressure,1
c,1
e,1
mad,1
cultures,1
first,1
ophthalmic,1
form,1
h,1
quite,1
date,1
treatment,1
on,1
does,1
editions,1
including,1
chapters,1
b,1
ad,1
ineffective,1
no,1
manages,1
p,1
attempt,1
follow,1
mental,1
precedes,1
london,1
or,1
within,1
race,1
hold,1
f,1
reader,1
attention,1
fairly,1
pontiac,1
climaxes,1
without,1
dramatic,1
force,1
rather,1
well,1
settler,1
supposes,1
unsuspected,1
white,1
stolen,1
only,1
few,1
hours,1
old,1
brought,1
origin,1
absolutely,1
even,1
great,1
himself,1
difference,1
him,1
other,1
boys,1
regarded,1
result,1
being,1
especial,1
instance,1
impossible,1
extreme,1
taken,1
howard,1
illustrated,1
john,1
lane,1
company,1
net,1
environment,1
heredity,1
latter,1
finally,1
triumphant,1
theme,1
which,1
chosen,1
for,1
demonstrate,1
contention,1
will,1
tell,1
favorite,1
spirit,1
people,1
had,1
century,1
wife,1
famous,1
aided,1
circumstances,1
steals,1
baby,1
whose,1
mother,1
died,1
tho,1
birth,1
pretends,1
their,1
own,1
narrative,1
q,1
adventure,1
named,1
life,1
eighteenth,1
time,1
th,1
shift,1
book,1
opens,1
prologue,1
jerusalem,1
alexander,1
certain,1
called,1
bravest,1
brave,1
from,1
descended,1
appear,1
al,1
tile,1
title,1
bestowed,1
t,1
then,1
scene,1
co,1
