term,count
a,11
and,11
her,10
to,9
the,5
of,4
for,4
she,4
both,3
an,3
story,3
which,2
that,2
miss,2
penny,2
with,2
this,2
all,2
is,2
because,2
time,2
climb,2
as,2
rusty,2
herself,2
was,2
hair,2
in,2
school,2
he,2
book,2
boy,2
village,2
reuben,2
at,2
when,1
but,1
h,1
comes,1
there,1
dresses,1
way,1
cousin,1
on,1
plate,1
fast,1
college,1
be,1
believed,1
about,1
those,1
moat,1
long,1
trial,1
great,1
high,1
miller,1
africa,1
south,1
are,1
very,1
sent,1
family,1
become,1
they,1
want,1
hero,1
noble,1
acutely,1
above,1
while,1
fashion,1
true,1
attend,1
red,1
i,1
transforms,1
who,1
heroine,1
self,1
things,1
go,1
unbecoming,1
arc,1
nd,1
by,1
called,1
might,1
rather,1
did,1
live,1
yo,1
him,1
took,1
spinster,1
kindly,1
quaint,1
until,1
it,1
hard,1
had,1
so,1
orphan,1
veers,1
girl,1
young,1
latest,1
grays,1
net,1
al,1
sons,1
s,1
scribner,1
after,1
forlorn,1
white,1
cut,1
work,1
stay,1
came,1
tram,1
distance,1
little,1
some,1
living,1
people,1
shiftless,1
poor,1
were,1
parents,1
n,1
color,1
jane,1
name,1
down,1
manage,1
t,1
tree,1
top,1
managed,1
end,1
