term,count
the,31
of,18
in,15
and,11
school,9
children,7
by,6
she,6
a,5
it,4
for,4
them,3
dramatic,3
their,3
lessons,2
miss,2
principal,2
is,2
geography,2
to,2
use,2
city,2
its,2
value,2
most,2
which,2
that,2
method,2
be,2
can,2
composition,2
way,2
history,2
knox,2
been,2
york,2
new,2
introduction,2
play,2
plays,2
public,2
days,1
not,1
character,1
develop,1
broaden,1
programs,1
helps,1
intellect,1
tile,1
filling,1
quickens,1
ingenuity,1
unselfishness,1
economy,1
efficiency,1
habits,1
e,1
dozen,1
other,1
than,1
better,1
trains,1
formal,1
celebration,1
overestimated,1
special,1
instruction,1
nature,1
are,1
score,1
england,1
virginia,1
town,1
glass,1
squabble,1
looking,1
grammar,1
arc,1
among,1
supervision,1
under,1
four,1
prepared,1
queens,1
work,1
birds,1
f,1
as,1
story,1
students,1
written,1
tn,1
used,1
from,1
selected,1
stories,1
pantomime,1
trees,1
anti,1
cants,1
loaf,1
part,1
results,1
study,1
minds,1
native,1
instinct,1
serve,1
learning,1
broadening,1
enriching,1
souls,1
manhattan,1
editor,1
director,1
club,1
wide,1
o,1
dramatics,1
making,1
borough,1
grades,1
this,1
edited,1
anna,1
m,1
margaret,1
century,1
company,1
interesting,1
done,1
very,1
practical,1
book,1
tells,1
what,1
has,1
curriculum,1
latter,1
pleads,1
begins,1
ten,1
page,1
beneficent,1
ires,1
seen,1
t,1
using,1
would,1
act,1
littlest,1
read,1
carries,1
through,1
all,1
her,1
interestingly,1
writes,1
upon,1
strongly,1
insists,1
but,1
methods,1
teaching,1
revolution,1
r,1
almost,1
adopted,1
generally,1
were,1
if,1
amount,1
throughout,1
