term,count
the,37
of,21
and,17
a,13
to,11
is,9
in,7
jim,5
farm,5
are,5
antonia,5
book,5
s,5
all,4
who,4
her,3
that,3
on,3
she,3
was,3
about,3
country,3
had,3
they,3
nebraska,3
at,3
an,3
immigrants,2
town,2
it,2
very,2
so,2
little,2
described,2
as,2
which,2
their,2
with,2
being,2
carefully,2
picture,2
them,2
detailed,2
presently,2
winter,2
daughter,2
came,2
girl,2
by,2
from,2
full,1
returned,1
experience,1
come,1
sketches,1
after,1
life,1
countrywoman,1
change,1
live,1
unfortunate,1
pronounced,1
born,1
arrival,1
dance,1
but,1
cold,1
tent,1
hired,1
plowing,1
games,1
fascinated,1
because,1
music,1
employers,1
quarreled,1
made,1
dancing,1
only,1
reaping,1
thrashing,1
tending,1
harvesting,1
last,1
there,1
other,1
besides,1
norwegians,1
danes,1
russians,1
ways,1
more,1
or,1
less,1
fully,1
some,1
extent,1
pioneers,1
period,1
first,1
goodness,1
feel,1
you,1
days,1
difficulties,1
feeding,1
cattle,1
routine,1
husbandry,1
true,1
soil,1
thus,1
stand,1
make,1
orchard,1
put,1
hand,1
crab,1
tree,1
look,1
up,1
apples,1
bitter,1
rather,1
summer,1
tells,1
prairie,1
fellow,1
man,1
cheated,1
badly,1
bur,1
den,1
american,1
bought,1
boy,1
living,1
his,1
prosperous,1
big,1
distances,1
go,1
out,1
where,1
tar,1
new,1
i,1
ilia,1
cather,1
illustrate,1
company,1
scene,1
lather,1
novel,1
mother,1
central,1
char,1
young,1
bohemian,1
tonia,1
grants,1
father,1
not,1
place,1
long,1
old,1
whole,1
than,1
story,1
grandparents,1
decide,1
getting,1
too,1
run,1
existence,1
f,1
move,1
black,1
hawk,1
then,1
we,1
told,1
indeed,1
daily,1
befriend,1
over,1
him,1
self,1
teaches,1
english,1
large,1
part,1
given,1
ac,1
when,1
count,1
work,1
play,1
these,1
two,1
during,1
year,1
foreign,1
