term,count
the,31
of,29
and,26
a,20
is,12
to,12
has,8
richard,7
which,6
he,6
are,6
in,6
very,5
for,4
his,4
it,4
one,4
s,4
their,3
they,3
him,3
at,3
by,3
that,3
be,3
good,3
with,3
australia,3
every,3
fortunes,3
simple,2
up,2
first,2
both,2
deal,2
lives,2
well,2
novel,2
them,2
happened,2
folly,2
there,2
later,2
when,2
wife,2
seeing,2
certain,2
where,2
but,2
leaves,2
book,2
character,2
occur,2
years,2
had,2
been,2
some,2
men,2
work,2
on,2
who,2
gold,2
henry,2
like,2
young,2
troubles,1
doctor,1
settlement,1
pioneer,1
holt,1
tumble,1
takes,1
rough,1
practice,1
profession,1
becoming,1
once,1
money,1
again,1
tie,1
mere,1
hardships,1
laid,1
what,1
physician,1
cares,1
around,1
materialize,1
scenes,1
most,1
beginning,1
net,1
description,1
gravel,1
diggers,1
grievances,1
tire,1
narrative,1
moves,1
melbourne,1
then,1
rapidly,1
growing,1
city,1
glaring,1
contrasts,1
freestone,1
buildings,1
standing,1
beside,1
tumbledown,1
structures,1
wood,1
canvas,1
prosperous,1
co,1
less,1
town,1
popular,1
acting,1
impulse,1
unjust,1
inherent,1
weakness,1
will,1
complex,1
human,1
person,1
loy,1
tag,1
practical,1
hankel,1
else,1
unlike,1
portrayed,1
sf,1
cleverness,1
subtlety,1
account,1
relations,1
put,1
number,1
given,1
reserved,1
course,1
too,1
life,1
more,1
or,1
period,1
entangled,1
others,1
these,1
experience,1
startling,1
changes,1
fortune,1
place,1
seized,1
rage,1
speculation,1
intelligent,1
generous,1
under,1
somewhat,1
stand,1
offish,1
exterior,1
sensitive,1
writes,1
tho,1
places,1
induced,1
realistic,1
conscientious,1
carefully,1
wrought,1
plot,1
little,1
almost,1
nothing,1
other,1
fact,1
hundreds,1
no,1
especial,1
drama,1
irishman,1
we,1
bid,1
farewell,1
have,1
himself,1
rather,1
than,1
developed,1
strictly,1
amazement,1
n,1
leave,1
chapter,1
finds,1
does,1
store,1
win,1
hating,1
loped,1
england,1
renounced,1
was,1
fields,1
suited,1
relates,1
ail,1
australian,1
from,1
time,1
made,1
moment,1
something,1
ten,1
tales,1
home,1
hat,1
during,1
scene,1
ago,1
holds,1
reader,1
interest,1
although,1
must,1
admitted,1
end,1
feeling,1
having,1
traveled,1
long,1
way,1
without,1
getting,1
anywhere,1
particular,1
road,1
its,1
attractions,1
not,1
author,1
apparently,1
familiar,1
therefore,1
individual,1
drawn,1
fifty,1
related,1
volume,1
wondering,1
how,1
odd,1
managed,1
among,1
new,1
different,1
surroundings,1
going,1
clearly,1
real,1
people,1
move,1
through,1
mfr,1
pages,1
events,1
es,1
natural,1
each,1
commendable,1
