term,count
the,158
of,121
and,83
to,68
in,61
a,57
is,53
he,42
his,34
that,27
as,26
it,24
i,23
be,22
has,20
s,17
one,17
not,15
by,14
this,13
at,13
o,13
r,13
verse,13
with,13
which,12
can,11
poetry,11
more,11
are,11
was,10
may,10
have,10
there,10
or,10
t,10
these,9
our,9
for,9
an,8
their,8
from,8
them,7
all,7
than,7
kipling,7
who,7
h,7
poet,6
first,6
its,6
volume,6
on,6
only,6
volumes,5
itself,5
many,5
op,5
before,5
any,5
even,5
other,5
we,5
had,5
every,5
into,5
no,5
time,5
what,5
him,5
us,5
when,5
yet,5
l,5
set,5
two,5
here,5
n,5
edition,5
c,5
never,4
art,4
now,4
ballads,4
lyrics,4
tho,4
prose,4
masters,4
once,4
must,4
made,4
both,4
another,4
they,4
themselves,4
page,3
fact,3
written,3
upon,3
take,3
years,3
e,3
fields,3
out,3
so,3
also,3
read,3
hymn,3
about,3
among,3
w,3
less,3
best,3
ever,3
youthful,3
v,3
will,3
say,3
old,3
man,3
after,3
but,3
place,3
f,3
very,3
own,3
ll,2
comparison,2
d,2
u,2
could,2
ry,2
lie,2
came,2
ha,2
tales,2
teller,2
great,2
if,2
p,2
ir,2
himself,2
et,2
te,2
taken,2
left,2
majority,2
case,2
prance,2
tl,2
britain,2
heart,2
lamb,2
would,2
merits,2
without,2
hundred,2
right,2
es,2
book,2
century,2
english,2
characteristic,2
element,2
school,2
gain,2
born,2
ail,2
possession,2
past,2
been,2
age,2
cart,2
others,2
poets,2
whatever,2
works,2
letters,2
moment,2
words,2
familiar,2
tell,2
story,2
praise,2
whose,2
done,2
hills,2
british,2
chat,2
efforts,2
discover,2
craftsman,2
master,2
few,2
score,2
admitted,2
artist,2
selection,2
continued,2
whom,2
inclusive,2
work,2
rhymes,2
measure,2
last,2
complete,2
collection,2
room,2
make,2
al,2
bard,2
ow,2
seven,2
hi,2
influences,2
devoted,2
songs,2
how,2
three,2
single,2
tale,2
spirit,2
down,2
since,2
side,2
american,2
bards,2
tennyson,2
collected,2
lofty,2
end,2
found,2
men,2
hr,2
chest,2
pages,1
decode,1
peaks,1
clamorous,1
voices,1
development,1
posterity,1
long,1
proclaiming,1
potent,1
twin,1
wide,1
deep,1
heartening,1
critic,1
heard,1
trail,1
bags,1
saddle,1
silent,1
go,1
salvage,1
most,1
soon,1
likely,1
wagon,1
feet,1
ge,1
bane,1
scans,1
painter,1
kept,1
shops,1
individuality,1
countries,1
unending,1
efflorescence,1
reviews,1
monthly,1
quarterly,1
achieved,1
style,1
like,1
fills,1
pale,1
windows,1
newly,1
magazine,1
originality,1
upward,1
yearly,1
established,1
pressing,1
interest,1
simples,1
army,1
compounding,1
georgian,1
believe,1
aspiring,1
writer,1
marked,1
hope,1
vere,1
states,1
revival,1
trusted,1
sat,1
image,1
point,1
ase,1
note,1
ruins,1
current,1
coins,1
beating,1
love,1
speaks,1
indeed,1
latest,1
largest,1
bare,1
effective,1
ingenious,1
j,1
knew,1
tame,1
true,1
household,1
poems,1
spy,1
fiction,1
nay,1
di,1
anger,1
flu,1
halo,1
touch,1
apprentice,1
bust,1
street,1
saw,1
minted,1
mouths,1
invaluable,1
borrows,1
cities,1
engrave,1
back,1
denied,1
course,1
caries,1
value,1
dons,1
topic,1
gibbon,1
winnow,1
away,1
chaff,1
leave,1
ripe,1
sends,1
gram,1
emerson,1
instantly,1
browning,1
retrains,1
quotations,1
absorbed,1
clever,1
hood,1
used,1
half,1
dozen,1
times,1
verso,1
reminds,1
studded,1
help,1
rival,1
brahma,1
apt,1
ascent,1
aspiration,1
disclosed,1
grow,1
living,1
hazardous,1
perhaps,1
assert,1
language,1
pest,1
thirty,1
noted,1
halt,1
tongue,1
those,1
stately,1
tomes,1
better,1
wholly,1
advantage,1
stood,1
talked,1
de,1
except,1
achievement,1
lots,1
group,1
follows,1
write,1
shifting,1
phase,1
poetic,1
simple,1
tempted,1
touching,1
flanders,1
ambitious,1
authentic,1
rendezvous,1
wish,1
death,1
alone,1
superiority,1
over,1
following,1
each,1
treasury,1
rich,1
buy,1
verdict,1
veracious,1
virile,1
favor,1
swing,1
prompts,1
suggestion,1
moved,1
west,1
days,1
east,1
marvelous,1
rest,1
mil,1
host,1
present,1
might,1
although,1
indisputable,1
absolutely,1
trot,1
songster,1
seems,1
reviewer,1
assembled,1
testimony,1
outstanding,1
position,1
need,1
offer,1
evidence,1
portly,1
special,1
discussed,1
war,1
lovers,1
choir,1
did,1
history,1
tells,1
appeals,1
mainly,1
small,1
newman,1
inner,1
practitioners,1
greatest,1
later,1
discovered,1
studio,1
lack,1
described,1
circle,1
sung,1
drop,1
obvious,1
flower,1
got,1
seed,1
servants,1
johnson,1
mate,1
plainly,1
inspiration,1
being,1
imitation,1
resolute,1
impression,1
public,1
describe,1
large,1
hesitate,1
ruddy,1
studies,1
evoked,1
good,1
deservedly,1
esteemed,1
succeeded,1
modest,1
preserved,1
forcing,1
notice,1
fortune,1
dignified,1
floating,1
lu,1
processes,1
quotation,1
freely,1
theories,1
noteworthy,1
however,1
newcomers,1
human,1
insisted,1
blood,1
cicero,1
artistic,1
aristocrat,1
shrewder,1
lee,1
went,1
attention,1
reticence,1
muss,1
dem,1
called,1
approval,1
necessary,1
approbation,1
methods,1
little,1
austerity,1
peer,1
ur,1
cut,1
mod,1
hour,1
struck,1
destined,1
occupy,1
major,1
port,1
too,1
rank,1
clod,1
tun,1
intimate,1
distance,1
ye,1
touchstone,1
next,1
oft,1
gems,1
estimate,1
fur,1
declared,1
vampire,1
hitherto,1
pressed,1
cr,1
added,1
lilting,1
fr,1
theodore,1
concerning,1
ale,1
kn,1
honor,1
er,1
moth,1
treat,1
details,1
duly,1
remark,1
totes,1
dots,1
diminished,1
various,1
constantly,1
discovering,1
unsuspected,1
springs,1
deals,1
women,1
understands,1
character,1
reveal,1
crisis,1
finding,1
fittest,1
ant,1
quality,1
swiftly,1
richly,1
second,1
way,1
inc,1
fallow,1
repetition,1
criticism,1
thins,1
ra,1
hots,1
tn,1
fir,1
eal,1
barren,1
rare,1
lit,1
ah,1
vigor,1
tad,1
fresh,1
willing,1
let,1
find,1
m,1
oar,1
consented,1
least,1
gathering,1
contained,1
solid,1
substantial,1
tome,1
whereas,1
admirers,1
isles,1
content,1
