term,count
the,118
to,69
of,65
i,63
a,53
and,47
in,46
his,28
he,28
that,25
it,23
with,22
h,21
for,18
l,18
t,17
not,17
had,16
him,16
was,15
at,14
o,13
on,13
have,12
as,12
davis,12
is,12
roosevelt,11
by,11
th,10
will,10
be,9
hi,9
s,9
you,8
an,8
am,8
but,8
who,8
than,8
e,7
good,7
my,6
man,6
all,6
been,6
if,6
j,6
y,6
although,5
k,5
theodore,5
book,5
thai,5
things,5
when,5
tl,5
about,5
canal,5
mr,5
could,5
or,4
this,4
correspondent,4
colonel,4
from,4
do,4
m,4
no,4
me,4
after,4
ordinary,4
did,4
their,4
take,4
men,4
there,4
old,4
up,4
one,4
n,4
great,4
which,4
q,4
more,4
thing,4
just,4
over,4
boxer,3
put,3
go,3
toward,3
panama,3
then,3
zone,3
are,3
any,3
time,3
navy,3
might,3
always,3
f,3
x,3
done,3
so,3
only,3
run,3
little,3
strong,3
work,3
v,3
ever,3
can,3
greatest,3
how,3
never,3
lie,3
out,3
york,3
does,3
deal,3
set,3
released,3
times,3
loll,2
ll,2
va,2
word,2
them,2
ii,2
politics,2
half,2
under,2
progressive,2
presidency,2
oscar,2
secretary,2
hill,2
arr,2
hand,2
new,2
years,2
shot,2
eyesight,2
far,2
p,2
ill,2
dewey,2
manila,2
hospital,2
light,2
mind,2
energy,2
digging,2
st,2
hal,2
long,2
we,2
around,2
recollections,2
course,2
knew,2
hr,2
re,2
achievement,2
what,2
would,2
cleveland,2
during,2
most,2
physical,2
career,2
life,2
people,2
himself,2
anything,2
d,2
said,2
even,2
face,2
true,2
taft,2
king,2
ho,2
war,2
see,2
assistant,2
such,2
being,2
mood,2
doing,2
vain,2
el,2
ar,2
tho,2
floor,2
made,2
now,2
hard,2
lr,2
hall,2
u,2
author,2
letter,2
off,2
ha,2
ir,2
publication,2
day,2
io,2
aid,1
outstanding,1
incident,1
remember,1
ethics,1
vis,1
affairs,1
conduct,1
foreign,1
step,1
constituted,1
differences,1
oil,1
gave,1
ade,1
above,1
mediocrity,1
al,1
torie,1
ts,1
character,1
indomitable,1
courage,1
marl,1
except,1
real,1
friend,1
major,1
agree,1
lid,1
acquisition,1
li,1
ooh,1
liliuokalani,1
president,1
sent,1
impetus,1
opinion,1
wonderfully,1
hack,1
des,1
era,1
cunt,1
ge,1
pl,1
promise,1
rm,1
tell,1
fin,1
burst,1
fired,1
broadsides,1
reply,1
bu,1
dispatch,1
raise,1
c,1
anti,1
ion,1
pr,1
mi,1
thank,1
methods,1
other,1
acquired,1
newspaper,1
relieved,1
efficient,1
knowing,1
nd,1
handy,1
tie,1
department,1
original,1
used,1
whom,1
think,1
state,1
honored,1
telegram,1
know,1
pa,1
part,1
peace,1
distinction,1
eyes,1
must,1
fe,1
humility,1
hour,1
monster,1
campaign,1
speech,1
rayed,1
emergency,1
want,1
ready,1
exhaustion,1
age,1
bowed,1
last,1
passed,1
lind,1
paused,1
mad,1
arm,1
color,1
los,1
seemed,1
appealed,1
lad,1
while,1
poke,1
stopped,1
w,1
rib,1
fifth,1
kt,1
meeting,1
son,1
de,1
admirer,1
loud,1
were,1
association,1
memorial,1
tn,1
plenty,1
thought,1
food,1
thin,1
modify,1
detractors,1
miss,1
afford,1
place,1
arden,1
find,1
nature,1
personal,1
many,1
space,1
lights,1
rot,1
historian,1
interest,1
ceased,1
has,1
lion,1
clef,1
folded,1
pages,1
rift,1
hot,1
twisted,1
wt,1
te,1
bring,1
ex,1
hurt,1
don,1
ere,1
alla,1
biol,1
kn,1
rori,1
concur,1
fine,1
thickness,1
theory,1
