term,count
the,128
of,88
a,45
in,38
and,37
is,36
to,35
it,29
that,26
be,21
i,16
as,16
from,15
not,14
are,14
art,13
he,12
which,11
by,11
with,11
have,10
plate,10
been,10
museum,10
this,9
british,9
but,9
mr,9
one,8
his,8
on,8
would,8
so,8
could,7
indian,7
for,6
has,6
than,6
persian,6
chinese,6
their,5
well,5
we,5
must,5
only,5
at,5
all,5
them,5
century,5
painting,5
if,5
such,5
were,5
though,5
should,4
these,4
works,4
london,4
paintings,4
later,4
collection,4
known,4
who,4
whose,4
asiatic,4
early,4
most,3
stein,3
l,3
v,3
none,3
very,3
work,3
us,3
any,3
they,3
mogul,3
sung,3
e,3
japanese,3
can,3
there,3
good,3
even,3
great,3
far,3
or,3
influence,3
found,3
same,3
collections,3
s,3
its,3
poet,3
present,3
true,3
treasures,3
finest,2
like,2
school,2
more,2
color,2
what,2
important,2
remain,2
glorious,2
author,2
full,2
published,2
find,2
objects,2
world,2
part,2
hut,2
both,2
judgment,2
believe,2
fine,2
american,2
o,2
every,2
treatment,2
no,2
first,2
th,2
certainly,2
g,2
dealer,2
said,2
european,2
indeed,2
remarks,2
here,2
judging,2
moment,2
quality,2
my,2
alone,2
oriental,2
wisely,2
tang,2
seem,2
many,2
evidence,2
do,2
pottery,2
dynasty,2
t,2
three,2
just,2
reproduced,2
vision,2
few,2
best,2
sixth,2
ha,2
hi,2
subject,2
together,2
q,2
bronze,2
series,2
public,2
then,2
truly,2
other,2
centuries,2
appear,2
grand,2
follow,2
book,2
continent,2
lands,2
treasure,2
up,2
medieval,2
those,2
through,2
see,2
hp,1
omitted,1
noses,1
says,1
man,1
d,1
impossibly,1
turn,1
roll,1
course,1
r,1
nineteenth,1
eastern,1
had,1
eyes,1
greatest,1
fourth,1
ame,1
taught,1
rather,1
miniature,1
sui,1
wei,1
wu,1
descendants,1
parents,1
latest,1
phoenix,1
may,1
religious,1
fairy,1
before,1
never,1
trinity,1
embroidered,1
reacting,1
contrary,1
unlikely,1
show,1
prints,1
di,1
refrain,1
volume,1
french,1
standard,1
translation,1
concluding,1
much,1
received,1
similar,1
absurdity,1
welcome,1
caution,1
scientific,1
into,1
dr,1
chine,1
abject,1
mu,1
strongly,1
gratitude,1
sending,1
signs,1
y,1
po,1
forced,1
sure,1
afford,1
thus,1
laurence,1
eleventh,1
exist,1
valuable,1
late,1
half,1
miran,1
holds,1
keeper,1
whole,1
call,1
owe,1
debt,1
na,1
huang,1
en,1
earthly,1
reproduction,1
larger,1
offspring,1
spirit,1
detail,1
lovely,1
costumes,1
bewilderingly,1
least,1
reproduce,1
fields,1
omission,1
made,1
conquest,1
regrets,1
leaves,1
selection,1
admirable,1
naturally,1
method,1
where,1
omit,1
decide,1
difficulty,1
curiously,1
group,1
consummate,1
interaction,1
does,1
illustrations,1
mean,1
element,1
little,1
shah,1
after,1
describes,1
fr,1
differ,1
venture,1
superlatively,1
house,1
hock,1
further,1
debased,1
go,1
invasions,1
mongol,1
antedates,1
long,1
quantity,1
remains,1
marvelously,1
now,1
recent,1
li,1
nm,1
traditionally,1
again,1
worthy,1
ll,1
ate,1
proved,1
earlier,1
ascribed,1
used,1
balcony,1
bench,1
rustle,1
reading,1
lady,1
dainty,1
paradise,1
me,1
enchanting,1
criticism,1
accepts,1
handled,1
genuine,1
among,1
richest,1
probably,1
him,1
portraits,1
dubiously,1
moguls,1
hotel,1
admit,1
photograph,1
expert,1
courtiers,1
also,1
individuality,1
tales,1
period,1
delicate,1
ram,1
plates,1
gold,1
ill,1
prove,1
arranged,1
dealers,1
attractively,1
apart,1
department,1
special,1
although,1
science,1
led,1
eurasian,1
quarter,1
fertilizing,1
streams,1
forth,1
poured,1
playwright,1
motherlands,1
unbroken,1
day,1
c,1
b,1
perhaps,1
continuity,1
predict,1
ventured,1
almost,1
outshone,1
sam,1
fit,1
total,1
lack,1
result,1
learning,1
f,1
recently,1
included,1
pity,1
seems,1
case,1
large,1
plays,1
king,1
h,1
personal,1
impeccable,1
taste,1
election,1
limit,1
difficult,1
lucidly,1
easy,1
japan,1
except,1
tr,1
professor,1
distinction,1
will,1
conjuring,1
minor,1
host,1
ah,1
tibetan,1
thrilling,1
ancient,1
wherein,1
might,1
lead,1
city,1
metal,1
marvelous,1
friezes,1
walled,1
bulls,1
winged,1
colossal,1
superb,1
ya,1
hall,1
approached,1
array,1
hr,1
mer,1
