term,count
the,154
of,75
to,57
it,51
a,43
that,40
and,38
in,33
not,23
is,22
for,21
which,16
by,16
was,15
democracy,15
an,14
as,13
but,13
we,12
on,12
with,11
i,11
this,11
have,11
they,11
opinion,10
question,10
has,10
people,9
state,9
had,9
would,8
public,8
t,8
been,8
be,7
no,7
come,7
says,7
about,7
any,7
there,7
are,6
power,6
professor,6
could,6
from,6
country,6
so,6
war,6
s,6
out,5
were,5
can,5
after,5
when,5
get,5
think,5
backer,5
will,5
government,5
time,5
do,5
its,5
he,5
might,4
great,4
may,4
his,4
one,4
referendum,4
or,4
brought,4
at,4
them,4
nation,4
does,4
becker,4
later,4
all,3
rule,3
history,3
who,3
whether,3
today,3
over,3
then,3
through,3
him,3
very,3
did,3
some,3
first,3
european,3
political,3
rules,3
everywhere,3
voted,3
problems,3
other,3
gave,3
e,3
if,3
their,3
made,3
certain,3
put,3
experiment,3
well,3
industrial,3
amendment,3
election,3
up,3
anthony,3
suffrage,3
r,3
thing,3
states,3
capturing,2
wee,2
many,2
broken,2
against,2
lincoln,2
turned,2
also,2
check,2
met,2
said,2
too,2
much,2
rights,2
re,2
point,2
supreme,2
vote,2
except,2
author,2
convention,2
opportunity,2
machine,2
direct,2
primary,2
n,2
wrong,2
initiative,2
woman,2
now,2
properly,2
recorded,2
nominations,2
elects,2
offices,2
ix,2
john,2
makers,2
best,2
left,2
o,2
p,2
enough,2
direction,2
always,2
more,2
president,2
only,2
among,2
here,2
idea,2
our,2
conceived,2
concentration,2
own,2
court,2
theory,2
say,2
sufficed,2
field,2
even,2
french,2
deal,2
wealth,2
mean,2
go,2
lion,2
under,2
w,2
hut,2
tile,2
system,2
dedicated,2
economic,2
won,2
these,2
liberty,2
yet,2
still,2
going,2
succeeded,2
already,1
mistaken,1
fa,1
again,1
complete,1
changed,1
mind,1
changing,1
doctrine,1
form,1
held,1
slowly,1
perfectly,1
reflects,1
reflect,1
combination,1
alike,1
testing,1
prosperity,1
freedom,1
next,1
consolidate,1
victory,1
abeyance,1
endure,1
office,1
happens,1
arch,1
bring,1
nearly,1
resulting,1
contract,1
beat,1
long,1
ii,1
civil,1
proof,1
two,1
away,1
absurd,1
gives,1
tho,1
bola,1
why,1
numbers,1
salted,1
rude,1
large,1
things,1
simple,1
treated,1
life,1
thinking,1
down,1
ly,1
fathers,1
tact,1
demand,1
decided,1
day,1
solve,1
remains,1
la,1
co,1
new,1
way,1
inequality,1
apparently,1
house,1
half,1
century,1
democratic,1
need,1
republican,1
tailed,1
sooner,1
glaring,1
your,1
capitalists,1
you,1
legislator,1
dishonest,1
poker,1
tar,1
voter,1
end,1
honest,1
hands,1
easy,1
consolidated,1
fact,1
lung,1
decisions,1
fut,1
basin,1
prediction,1
eu,1
opposed,1
case,1
behind,1
felt,1
before,1
disruption,1
probably,1
battle,1
bound,1
americans,1
rapid,1
truly,1
into,1
speaking,1
quarrel,1
disposed,1
congeries,1
petty,1
returns,1
exist,1
negative,1
settled,1
almost,1
outbreak,1
just,1
pretend,1
reason,1
because,1
every,1
certainty,1
favor,1
carry,1
foregone,1
suffragists,1
proving,1
attention,1
forcing,1
thereafter,1
means,1
sudden,1
logic,1
supported,1
ably,1
otherwise,1
contention,1
follow,1
thank,1
c,1
republics,1
mississippi,1
agree,1
secession,1
doing,1
what,1
see,1
earth,1
back,1
framers,1
decrease,1
tram,1
national,1
increase,1
georgia,1
fast,1
birth,1
control,1
usually,1
nationally,1
give,1
adding,1
engaged,1
f,1
monstrous,1
nullification,1
child,1
instrument,1
contending,1
hegemony,1
calling,1
interpretation,1
std,1
liberal,1
comes,1
bald,1
seem,1
caption,1
u,1
threats,1
amending,1
haw,1
giving,1
dreamed,1
never,1
remember,1
course,1
matter,1
while,1
theirs,1
triumph,1
fates,1
popular,1
vats,1
importance,1
america,1
given,1
steed,1
stales,1
united,1
merely,1
something,1
france,1
stand,1
hag,1
england,1
eyes,1
crave,1
than,1
eider,1
significance,1
countries,1
pointing,1
begins,1
ha,1
deserves,1
volume,1
earnest,1
honestly,1
eye,1
study,1
interpret,1
us,1
l,1
domination,1
upper,1
gain,1
lower,1
na,1
informs,1
revolutionary,1
world,1
failure,1
should,1
union,1
address,1
north,1
partisans,1
strong,1
such,1
laborers,1
fish,1
confederacy,1
southern,1
cause,1
interest,1
tories,1
thin,1
g,1
care,1
move,1
agricultural,1
formed,1
like,1
american,1
taking,1
without,1
k,1
boo,1
belief,1
yesterday,1
successes,1
account,1
fake,1
must,1
tracy,1
demo,1
ire,1
ray,1
formula,1
meant,1
magnificently,1
trial,1
failed,1
thompson,1
willis,1
charles,1
prob,1
aristocracy,1
read,1
racy,1
honk,1
notable,1
however,1
le,1
views,1
understood,1
wish,1
unfair,1
suffice,1
knows,1
establish,1
