term,count
the,40
of,34
and,22
in,21
to,17
his,16
a,14
was,10
he,10
with,10
yarrow,7
which,6
it,4
this,4
by,4
be,4
as,4
its,4
life,4
years,4
made,4
war,3
at,3
or,3
british,3
but,3
boats,3
for,3
very,3
some,3
later,3
two,3
steam,3
after,3
her,3
work,3
alfred,3
story,2
from,2
connection,2
rich,2
s,2
friend,2
active,2
lady,2
line,2
inventions,2
into,2
interesting,2
self,2
london,2
sir,2
when,2
experiment,2
out,2
honor,2
success,2
himself,2
high,2
construction,2
shipyard,2
branch,2
man,2
firm,2
speed,2
early,2
had,2
on,2
three,2
destroyers,2
value,2
she,2
teens,2
that,2
even,1
strenuous,1
nothing,1
objection,1
people,1
over,1
consternation,1
whose,1
houses,1
passed,1
same,1
constructed,1
englishman,1
plow,1
proved,1
fear,1
homes,1
great,1
infancy,1
sought,1
save,1
trouble,1
ingenious,1
little,1
appreciated,1
were,1
compiled,1
those,1
middle,1
telegraphy,1
young,1
used,1
put,1
up,1
above,1
house,1
tops,1
between,1
their,1
did,1
first,1
private,1
wire,1
practicable,1
able,1
not,1
much,1
factors,1
attained,1
trip,1
america,1
led,1
investigate,1
causes,1
vibration,1
vessels,1
study,1
enabled,1
him,1
combination,1
others,1
develop,1
i,1
type,1
engine,1
went,1
j,1
far,1
toward,1
elimination,1
source,1
discomfort,1
soon,1
generally,1
one,1
yards,1
appeal,1
developed,1
fawner,1
energy,1
ability,1
inspired,1
such,1
confidence,1
friends,1
eleanor,1
while,1
still,1
launch,1
modest,1
isle,1
thames,1
river,1
where,1
built,1
launches,1
development,1
came,1
especially,1
noted,1
close,1
admiralty,1
torpedo,1
boat,1
boiler,1
child,1
c,1
contrivances,1
is,1
just,1
retired,1
age,1
shipbuilding,1
works,1
clyde,1
co,1
victoria,1
green,1
columbia,1
looked,1
forward,1
quiet,1
happy,1
home,1
south,1
york,1
once,1
stepped,1
harness,1
again,1
all,1
through,1
conflict,1
new,1
broke,1
nation,1
yard,1
labors,1
five,1
england,1
apprenticeship,1
marine,1
engineers,1
example,1
way,1
own,1
abilities,1
public,1
service,1
gave,1
typical,1
achieved,1
professional,1
fame,1
won,1
financial,1
reward,1
finally,1
received,1
sovereign,1
baronetcy,1
recognition,1
worth,1
building,1
turning,1
anecdotes,1
tells,1
discrimination,1
never,1
allowing,1
herself,1
barnes,1
lured,1
detail,1
although,1
describes,1
comprehensively,1
number,1
mechanical,1
developments,1
beginning,1
will,1
more,1
engineer,1
than,1
general,1
reader,1
account,1
husband,1
charming,1
human,1
document,1
excellent,1
character,1
about,1
lovable,1
thirty,1
these,1
pp,1
been,1
well,1
known,1
naval,1
circles,1
before,1
illustrated,1
viscount,1
hrs,1
foreword,1
contribution,1
implements,1
baronet,1
writes,1
dignity,1
reserve,1
full,1
appreciation,1
solid,1
fine,1
achievement,1
evidently,1
adopted,1
