term,count
the,107
of,64
and,32
a,25
in,22
to,21
i,14
their,13
is,13
who,9
it,9
s,9
by,8
legends,7
no,7
o,7
as,7
they,6
that,6
island,6
hawaiian,6
an,6
e,6
this,5
le,5
with,5
are,5
them,5
her,5
race,5
for,4
th,4
well,4
had,4
ha,4
only,4
aryans,4
hawaii,4
t,4
from,4
thorpe,4
make,3
never,3
if,3
book,3
m,3
l,3
be,3
re,3
out,3
has,3
mr,3
will,3
at,3
n,3
these,3
forgotten,3
without,3
have,3
all,3
u,2
vowels,2
de,2
much,2
would,2
left,2
or,2
few,2
people,2
tragedy,2
love,2
about,2
sunny,2
not,2
though,2
f,2
valhalla,2
common,2
legend,2
reeks,2
collected,2
folklore,2
ls,2
there,2
those,2
give,2
lands,2
io,2
branch,2
among,2
could,2
r,2
find,2
pacific,2
but,2
india,2
aryan,2
flung,2
far,2
little,2
friends,2
fish,2
took,2
first,2
dole,2
b,2
introduction,2
wells,2
story,2
trade,2
path,2
can,2
other,2
sea,2
your,2
islands,2
both,2
polynesian,2
any,2
g,2
consonants,1
importance,1
eluded,1
thus,1
guide,1
preservation,1
easy,1
inclusion,1
literary,1
authoress,1
pm,1
corn,1
chart,1
modest,1
artistically,1
merit,1
fortuitous,1
blab,1
comparative,1
nietzsche,1
was,1
done,1
science,1
music,1
hercules,1
such,1
beloved,1
stand,1
valuable,1
lt,1
civilization,1
unquestionable,1
glossary,1
beyond,1
lead,1
amused,1
even,1
sports,1
nothing,1
course,1
value,1
then,1
considerable,1
us,1
apt,1
seven,1
otherwise,1
reader,1
average,1
appreciated,1
origins,1
explain,1
bewildered,1
four,1
purposes,1
record,1
feting,1
finally,1
bored,1
interminably,1
voluminous,1
five,1
heavily,1
nomenclature,1
which,1
sure,1
nowhere,1
ii,1
world,1
birth,1
stumbled,1
trip,1
present,1
steamer,1
sort,1
exactly,1
prove,1
should,1
eye,1
gladden,1
alike,1
cover,1
each,1
end,1
decision,1
cut,1
attractive,1
typography,1
piece,1
excellent,1
disordered,1
replace,1
surf,1
c,1
take,1
shadows,1
tropic,1
wonder,1
malefic,1
rainbow,1
lunar,1
upon,1
looked,1
mountains,1
encircling,1
purple,1
trips,1
silently,1
core,1
too,1
illusion,1
allay,1
table,1
parlor,1
on,1
look,1
trouble,1
one,1
irrepressible,1
some,1
produce,1
play,1
laughter,1
meaningless,1
ms,1
touching,1
lurks,1
ago,1
years,1
thousands,1
pa,1
earthly,1
found,1
happy,1
hearted,1
es,1
pessimism,1
certainly,1
min,1
fundamental,1
arose,1
prometheus,1
siegfried,1
just,1
literature,1
where,1
prepared,1
attractively,1
most,1
artistic,1
however,1
old,1
corroboration,1
difficult,1
tropics,1
honeyed,1
lure,1
feel,1
while,1
symphony,1
fifth,1
moral,1
attain,1
slight,1
strumming,1
myth,1
drums,1
hears,1
hear,1
north,1
trust,1
daring,1
haired,1
fair,1
bearded,1
akin,1
entirely,1
knows,1
rex,1
adventure,1
ran,1
none,1
thai,1
certain,1
making,1
bridges,1
upheavals,1
geo,1
mediterranean,1
en,1
after,1
were,1
later,1
tl,1
remained,1
traces,1
carries,1
strife,1
real,1
si,1
bears,1
mrs,1
mythology,1
pretty,1
twilight,1
nor,1
neither,1
dreamed,1
vikings,1
annals,1
odyssey,1
arrival,1
mid,1
waters,1
wastes,1
thrust,1
unlike,1
like,1
spawned,1
polynesians,1
according,1
sons,1
putnam,1
york,1
new,1
pp,1
territory,1
governor,1
republic,1
former,1
president,1
sanford,1
cora,1
winds,1
into,1
pressure,1
group,1
swarming,1
ed,1
double,1
na,1
hawaiians,1
future,1
fro,1
enough,1
taught,1
arc,1
chaldean,1
early,1
ml,1
southern,1
glittering,1
surges,1
unprofitable,1
home,1
what,1
tribes,1
homes,1
hut,1
trojan,1
tim,1
note,1
strike,1
fails,1
era,1
straight,1
down,1
lava,1
hot,1
river,1
see,1
shoulders,1
over,1
d,1
smoke,1
puff,1
rs,1
furls,1
tales,1
he,1
chord,1
deluge,1
war,1
fable,1
seeking,1
tired,1
top,1
tree,1
couple,1
seek,1
sent,1
am,1
ocean,1
level,1
raised,1
whereabouts,1
unaware,1
bride,1
se,1
woman,1
al,1
ni,1
tale,1
children,1
white,1
talk,1
breed,1
living,1
portray,1
fifteen,1
dusk,1
songs,1
murmur,1
red,1
weave,1
tel,1
loki,1
odin,1
northmen,1
fierce,1
summer,1
golden,1
av,1
fabled,1
st,1
black,1
peace,1
knowledge,1
fenced,1
crater,1
half,1
ned,1
toward,1
attitude,1
ola,1
pi,1
bear,1
terror,1
volcanic,1
off,1
ir,1
oahu,1
king,1
w,1
y,1
whole,1
grim,1
circling,1
night,1
