term,count
the,42
of,33
a,19
to,16
he,15
his,13
and,13
was,12
in,12
i,10
him,7
that,7
at,6
s,6
it,6
books,5
is,5
as,5
but,5
man,5
had,4
age,4
edgar,4
innocence,3
child,3
who,3
not,3
once,3
when,3
were,3
fame,3
marie,3
what,3
legend,3
have,3
later,3
no,2
would,2
said,2
understand,2
for,2
up,2
been,2
about,2
more,2
with,2
th,2
or,2
lady,2
pages,2
now,2
thirteen,2
ir,2
hour,2
be,2
against,2
story,2
curious,2
its,2
supposed,2
most,2
replied,2
truth,2
revelation,2
which,2
notoriety,2
author,2
earlier,2
from,2
added,1
de,1
laving,1
believed,1
admired,1
fiction,1
again,1
rose,1
character,1
keep,1
asked,1
wheeler,1
maupassant,1
bitter,1
zola,1
after,1
wrote,1
letters,1
own,1
you,1
wicked,1
my,1
helm,1
helped,1
virtuous,1
sell,1
giles,1
become,1
only,1
ne,1
time,1
god,1
recorded,1
baby,1
talk,1
comparable,1
depraved,1
then,1
years,1
surpassed,1
young,1
girls,1
warned,1
being,1
seen,1
elder,1
women,1
themselves,1
way,1
appeared,1
casino,1
became,1
interest,1
colonel,1
judy,1
both,1
naturally,1
whom,1
boasted,1
every,1
novel,1
written,1
dug,1
woman,1
heart,1
arthur,1
bartlett,1
writer,1
reply,1
first,1
worst,1
met,1
bar,1
harbor,1
she,1
little,1
than,1
early,1
forties,1
still,1
celebrity,1
people,1
wide,1
remembered,1
even,1
if,1
they,1
longer,1
reading,1
them,1
pretty,1
mr,1
never,1
know,1
construction,1
on,1
your,1
put,1
went,1
five,1
far,1
spread,1
mann,1
blithely,1
brazenly,1
don,1
juan,1
casanova,1
into,1
one,1
hit,1
thrown,1
good,1
measure,1
frightened,1
ole,1
shares,1
pardoning,1
glorifying,1
suggested,1
infidelities,1
affectionately,1
monumental,1
mendacity,1
apparently,1
proud,1
weaknesses,1
mocking,1
through,1
totters,1
utter,1
by,1
pp,1
chicago,1
pascal,1
strange,1
biography,1
times,1
appalling,1
frankness,1
rasping,1
nerves,1
lack,1
p,1
reticence,1
likely,1
leave,1
reader,1
disturbed,1
puzzled,1
perhaps,1
designedly,1
much,1
subject,1
flits,1
talent,1
impossible,1
thoroughly,1
found,1
october,1
lopping,1
off,1
two,1
yea,1
those,1
hurt,1
lifelong,1
habit,1
tell,1
whenever,1
unpleasant,1
matter,1
flared,1
scene,1
smaller,1
attention,1
paid,1
irregularity,1
life,1
also,1
atheism,1
attributed,1
served,1
born,1
birth,1
grew,1
could,1
necessary,1
hold,1
mind,1
background,1
brief,1
full,1
new,1
york,1
t,1
this,1
statement,1
read,1
date,1
protested,1
hotly,1
lr,1
question,1
mere,1
supplying,1
data,1
work,1
biographical,1
reference,1
gave,1
maurice,1
