term,count
the,109
of,76
and,50
a,40
to,35
in,29
s,21
is,19
that,18
his,17
with,16
i,12
as,12
for,12
which,12
by,12
life,11
it,11
an,8
but,8
only,7
her,7
him,7
on,7
from,7
its,7
war,6
like,6
who,6
green,6
into,6
love,6
no,5
jane,5
characters,5
one,5
austen,5
or,5
have,5
this,5
o,5
miss,4
story,4
has,4
book,4
they,4
author,4
be,4
novel,4
first,4
writer,3
being,3
then,3
england,3
not,3
best,3
man,3
through,3
hero,3
effort,3
growth,3
all,3
placid,3
she,3
little,3
niece,3
old,3
wife,3
human,3
yet,3
are,3
world,3
out,3
may,3
at,3
so,3
them,3
tranquil,3
moon,3
prose,3
three,3
more,3
r,2
depicted,2
across,2
mere,2
english,2
action,2
such,2
written,2
age,2
marriage,2
style,2
some,2
seem,2
herself,2
manner,2
september,2
within,2
characterization,2
publishers,2
thought,2
held,2
without,2
nearest,2
had,2
let,2
away,2
theme,2
briton,2
young,2
he,2
discreet,2
painted,2
enough,2
friend,2
resolution,2
york,2
figure,2
pp,2
point,2
insight,2
beauty,2
phoebe,2
th,2
will,2
upon,2
people,2
was,2
were,2
need,2
partner,2
richard,2
son,2
hand,2
nature,2
still,2
tho,2
roofs,2
there,2
corner,2
younger,2
brother,2
character,2
pages,2
indeed,2
daughter,2
than,2
surface,2
made,2
lena,2
another,2
been,2
any,2
sensitive,2
most,2
essentially,1
described,1
senior,1
literary,1
professional,1
view,1
class,1
better,1
legal,1
peace,1
firm,1
harmony,1
problems,1
tragic,1
proper,1
holding,1
things,1
protect,1
powerless,1
tragedies,1
struck,1
object,1
happiness,1
secure,1
perfect,1
men,1
impotence,1
utter,1
peter,1
pain,1
necessary,1
en,1
celia,1
ones,1
certainly,1
several,1
should,1
disturbed,1
even,1
part,1
ronald,1
bitterly,1
globe,1
residential,1
tragically,1
strongly,1
runs,1
however,1
proviso,1
limits,1
happen,1
roger,1
infatuation,1
ugly,1
nothing,1
amid,1
corry,1
intemperate,1
married,1
unhappily,1
punctilio,1
vainglory,1
reviewed,1
page,1
spun,1
romantic,1
larger,1
tenor,1
mannerly,1
middle,1
occupied,1
martin,1
pleasant,1
skein,1
lives,1
review,1
those,1
genteel,1
suburb,1
odd,1
form,1
good,1
bounds,1
about,1
kept,1
permitted,1
your,1
children,1
fields,1
reached,1
thin,1
spears,1
shafts,1
wreaths,1
town,1
sun,1
alders,1
well,1
lifting,1
edge,1
mist,1
cud,1
near,1
river,1
trunks,1
pains,1
surfeited,1
bars,1
erl,1
up,1
purr,1
sleepily,1
kittens,1
cream,1
dwarf,1
mists,1
rising,1
water,1
meadows,1
below,1
swathing,1
horizon,1
tempered,1
brightness,1
possess,1
