term,count
the,121
of,81
a,44
and,43
to,31
in,30
i,19
by,17
that,12
they,11
were,11
is,11
was,11
have,10
had,10
he,10
for,10
at,9
from,8
his,8
s,8
it,8
you,8
not,7
which,7
work,7
mission,7
all,6
cow,6
into,6
half,6
one,6
poland,6
an,5
who,5
as,5
are,5
their,5
them,4
more,4
some,4
russia,4
her,4
relief,4
book,4
out,4
little,4
or,4
this,4
but,4
t,4
no,4
brother,4
when,3
my,3
over,3
war,3
give,3
exclaimed,3
devastated,3
men,3
society,3
been,3
day,3
killed,3
these,3
those,3
small,3
thee,3
him,3
nothing,3
field,3
there,3
friends,3
n,3
winter,3
life,3
d,3
us,3
take,3
horse,3
with,3
on,3
m,3
workers,3
th,3
like,3
five,3
returned,2
government,2
polish,2
most,2
refugees,2
seed,2
manner,2
ruined,2
sent,2
plowed,2
desolation,2
hay,2
two,2
idea,2
own,2
again,2
home,2
other,2
has,2
upon,2
back,2
timber,2
women,2
well,2
homes,2
sites,2
going,2
villages,2
hauled,2
distributed,2
mark,2
underwood,2
country,2
terrible,2
land,2
wanted,2
r,2
h,2
could,2
so,2
last,2
she,2
between,2
still,2
wife,2
j,2
area,2
whole,2
example,2
what,2
notes,2
felt,2
obliged,2
character,2
piteously,2
london,2
then,2
authors,2
get,2
ways,2
hundred,2
river,2
record,2
areas,2
history,2
member,2
held,2
midst,2
only,2
chemist,2
tragedy,2
man,2
cried,2
made,2
intimate,2
people,2
hindenburg,2
earth,2
narrative,2
ha,2
literally,2
period,2
typhus,2
dressing,2
parts,2
three,2
boy,2
gown,2
america,2
sure,1
anything,1
old,1
himself,1
crowd,1
dmitri,1
lit,1
pig,1
rehabilitating,1
endure,1
quite,1
allotted,1
worst,1
deceit,1
lies,1
atmosphere,1
lived,1
offense,1
trivial,1
punishment,1
scolding,1
brunt,1
bear,1
would,1
rations,1
once,1
draw,1
weeks,1
dead,1
pretended,1
household,1
resort,1
think,1
appeared,1
gees,1
subterfuges,1
ions,1
dozens,1
plague,1
race,1
widows,1
whose,1
want,1
deal,1
necessary,1
tin,1
here,1
go,1
must,1
me,1
line,1
along,1
fine,1
be,1
will,1
harrison,1
ruth,1
make,1
thus,1
quakers,1
idiom,1
quaint,1
scraps,1
cry,1
hardboiled,1
hardest,1
importunities,1
do,1
ah,1
gives,1
milk,1
hey,1
hard,1
flat,1
voice,1
worked,1
swelled,1
throat,1
happened,1
frail,1
baby,1
haired,1
white,1
eldest,1
babe,1
look,1
explorer,1
face,1
arm,1
son,1
took,1
up,1
got,1
seen,1
received,1
hospitably,1
village,1
reached,1
finally,1
ram,1
hy,1
l,1
o,1
schoolboys,1
tripped,1
ls,1
ll,1
anthers,1
elude,1
con,1
lief,1
big,1
too,1
pt,1
v,1
el,1
fort,1
al,1
just,1
twelve,1
om,1
soldiers,1
lt,1
foe,1
bolsheviks,1
ht,1
tile,1
joined,1
hoy,1
wet,1
nephew,1
cam,1
rivaled,1
experiences,1
subsequent,1
arin,1
stark,1
laughed,1
round,1
world,1
des,1
note,1
pulled,1
surprised,1
much,1
fumbling,1
began,1
nan,1
poor,1
hands,1
ave,1
waved,1
answered,1
short,1
marks,1
thousand,1
terribly,1
