term,count
the,71
of,47
and,41
a,27
i,20
in,19
that,15
is,15
to,14
with,11
her,11
this,8
s,8
all,7
but,7
on,6
it,6
which,6
be,6
one,5
for,5
there,4
two,4
lady,4
sir,4
great,4
no,4
not,4
he,3
an,3
so,3
she,3
deal,3
j,3
king,3
o,3
if,3
l,3
perfect,3
dealing,3
m,3
from,3
or,3
gallants,3
was,3
style,3
sure,2
had,2
f,2
order,2
eighteenth,2
unfortunate,2
love,2
author,2
nd,2
here,2
fie,2
my,2
first,2
literature,2
admitted,2
taste,2
beyond,2
re,2
t,2
as,2
court,2
can,2
performance,2
age,2
touch,2
others,2
people,2
over,2
room,2
are,2
while,2
him,2
nelson,2
between,2
see,2
very,2
by,2
pools,1
seeming,1
curd,1
sweeting,1
wooing,1
height,1
n,1
majesty,1
face,1
man,1
touches,1
golden,1
bard,1
truth,1
mystery,1
knocks,1
r,1
ia,1
wider,1
dream,1
dr,1
saw,1
know,1
nothing,1
milk,1
peace,1
duke,1
returned,1
apartment,1
rush,1
frisking,1
peter,1
have,1
cease,1
shall,1
departed,1
delivered,1
drawn,1
victorious,1
pawns,1
armistice,1
tire,1
screaming,1
either,1
sympathetic,1
portrait,1
fled,1
mary,1
stuart,1
writes,1
ls,1
francis,1
lords,1
chief,1
elizabeth,1
queen,1
mine,1
cate,1
shah,1
course,1
contains,1
hose,1
lean,1
wife,1
hamilton,1
interview,1
known,1
well,1
johnson,1
friendship,1
life,1
indeed,1
angle,1
new,1
being,1
coquette,1
pious,1
theme,1
familiar,1
other,1
deals,1
prince,1
regent,1
maria,1
at,1
gin,1
common,1
off,1
idyll,1
romantic,1
human,1
real,1
fact,1
ins,1
most,1
experience,1
than,1
more,1
whole,1
tn,1
unity,1
cook,1
heart,1
his,1
duchess,1
when,1
dinner,1
english,1
old,1
fine,1
hall,1
low,1
sky,1
winter,1
dining,1
oaken,1
french,1
veered,1
town,1
circles,1
able,1
fashion,1
second,1
followed,1
compliment,1
goose,1
could,1
midst,1
creamed,1
pie,1
pear,1
g,1
match,1
sweetbreads,1
broiled,1
side,1
al,1
lobsters,1
patties,1
snipes,1
woodcocks,1
dish,1
roast,1
proud,1
fretted,1
because,1
were,1
bold,1
taken,1
has,1
x,1
lends,1
them,1
enough,1
who,1
successful,1
ladies,1
sex,1
series,1
imitation,1
down,1
setting,1
mere,1
pretty,1
step,1
interprets,1
each,1
general,1
against,1
brought,1
only,1
sort,1
its,1
complete,1
studies,1
periods,1
penetrating,1
charm,1
ne,1
fresh,1
adds,1
doubt,1
achievement,1
above,1
tile,1
ermine,1
constructive,1
pianist,1
contrasts,1
clearer,1
distinction,1
necessary,1
sometimes,1
genius,1
differentiate,1
composer,1
press,1
monthly,1
atlantic,1
boston,1
pp,1
e,1
gallantries,1
composition,1
former,1
spirit,1
close,1
near,1
comes,1
yet,1
original,1
termed,1
literatures,1
past,1
es,1
reconstructs,1
exactly,1
writing,1
type,1
both,1
creates,1
latter,1
conceptions,1
namely,1
q,1
ex,1
set,1
precious,1
tail,1
spread,1
peacock,1
design,1
gold,1
century,1
jewels,1
suzerain,1
sparkling,1
neck,1
about,1
roses,1
red,1
garland,1
head,1
work,1
lord,1
en,1
shape,1
fur,1
edged,1
b,1
brocade,1
nag,1
yore,1
full,1
silver,1
holy,1
cloth,1
sun,1
bosom,1
lay,1
sent,1
bad,1
france,1
follows,1
eleanor,1
ii,1
therefore,1
history,1
corded,1
far,1
trespass,1
number,1
seven,1
stories,1
ranks,1
henry,1
construction,1
imaginative,1
such,1
cy,1
element,1
creative,1
though,1
they,1
make,1
aught,1
romance,1
loves,1
tale,1
ad,1
instance,1
reader,1
part,1
erudition,1
degree,1
throughout,1
subject,1
sr,1
sheridan,1
albeit,1
characters,1
ir,1
their,1
